symbol,release_date,release_time,side,period
A,2013-02-14,post,short,IS
A,2013-05-14,post,long,IS
A,2013-08-14,post,long,IS
A,2013-11-14,post,long,IS
A,2014-08-14,post,long,IS
A,2015-05-18,post,short,IS
A,2016-05-16,post,long,IS
A,2017-05-22,post,long,OOS
A,2017-08-15,post,long,OOS
A,2018-02-14,post,long,OOS
A,2018-11-19,post,long,OOS
A,2019-05-14,post,short,OOS
A,2019-08-14,post,long,OOS
AA,2017-10-18,post,short,OOS
AA,2018-01-17,post,short,OOS
AA,2018-10-17,post,long,OOS
AABA,2014-04-15,post,long,IS
AABA,2014-10-21,post,long,IS
AABA,2015-01-27,post,long,IS
AABA,2015-07-21,post,short,IS
AABA,2017-01-23,post,long,OOS
AAL,2016-07-22,pre,long,IS
AAL,2019-01-24,pre,long,OOS
AAN,2013-04-25,post,short,IS
AAN,2014-02-07,pre,long,IS
AAN,2015-04-24,pre,long,IS
AAN,2015-07-24,pre,long,IS
AAN,2015-10-30,pre,short,IS
AAN,2017-02-17,pre,long,OOS
AAN,2017-04-28,pre,long,OOS
AAN,2017-07-28,pre,long,OOS
AAN,2017-10-27,pre,short,OOS
AAN,2018-02-15,pre,long,OOS
AAN,2018-04-26,pre,short,OOS
AAN,2018-07-26,pre,long,OOS
AAN,2019-02-14,pre,short,OOS
AAN,2019-04-25,pre,long,OOS
AAN,2019-07-25,pre,long,OOS
AAOI,2017-02-23,post,long,OOS
AAOI,2017-05-04,post,long,OOS
AAOI,2018-05-08,post,short,OOS
AAOI,2018-08-07,post,long,OOS
AAOI,2020-08-06,post,long,OOS
AAP,2013-02-07,pre,long,IS
AAP,2014-02-06,pre,long,IS
AAP,2014-05-15,pre,long,IS
AAP,2014-08-14,pre,long,IS
AAP,2015-05-21,pre,short,IS
AAP,2015-11-12,pre,short,IS
AAP,2016-05-19,pre,short,IS
AAP,2016-08-16,pre,short,IS
AAP,2016-11-14,post,long,IS
AAP,2017-05-24,pre,short,OOS
AAP,2017-08-15,pre,short,OOS
AAP,2017-11-14,pre,long,OOS
AAP,2018-02-21,pre,long,OOS
AAP,2018-05-22,pre,long,OOS
AAP,2018-08-14,pre,long,OOS
AAP,2018-11-13,pre,long,OOS
AAP,2019-05-22,pre,long,OOS
AAP,2019-08-13,pre,short,OOS
AAPL,2013-04-23,post,short,IS
AAPL,2013-07-23,post,long,IS
AAPL,2014-04-23,post,long,IS
AAPL,2014-10-20,post,long,IS
AAPL,2015-01-27,post,long,IS
AAPL,2016-04-26,post,short,IS
AAPL,2016-07-26,post,long,IS
AAPL,2017-01-31,post,long,OOS
AAPL,2017-08-01,post,long,OOS
AAPL,2017-11-02,post,long,OOS
AAPL,2018-05-01,post,long,OOS
AAPL,2018-07-31,post,long,OOS
AAPL,2019-01-29,post,long,OOS
AAPL,2019-04-30,post,long,OOS
AAPL,2019-07-30,post,long,OOS
AAWW,2013-05-02,pre,long,IS
AAWW,2017-08-02,pre,long,OOS
AAWW,2017-11-07,pre,short,OOS
AAWW,2018-02-22,pre,long,OOS
AAWW,2019-02-19,pre,long,OOS
AAXN,2017-05-09,post,long,OOS
AAXN,2018-02-27,post,long,OOS
AAXN,2018-05-08,post,long,OOS
AAXN,2019-02-26,post,short,OOS
ABB,2013-07-25,pre,short,IS
ABB,2014-04-29,pre,short,IS
ABB,2016-04-20,pre,long,IS
ABB,2017-04-20,pre,long,OOS
ABB,2017-10-26,pre,long,OOS
ABB,2018-07-19,pre,long,OOS
