sample_id,symbol,release_date,release_time,verify_status,tradeable,screen_reason,eps_actual_est
1,FCFS,2012-10-17,pre,match,False,screen:dollar_vol_below_min,"('0.69', '0.68')"
2,SPSC,2012-10-25,post,match,False,screen:dollar_vol_below_min,"('0.1', '0.09')"
3,RS,2012-10-25,pre,match,True,tradeable,"('1.3', '1.19')"
4,IRDM,2012-11-01,pre,match,False,screen:dollar_vol_below_min,"('0.23', '0.25')"
5,XEC,2012-11-02,pre,missing_ticker,True,tradeable,"('0.97', '0.94')"
6,WSTL,2012-11-05,post,match,False,screen:price_below_min+dollar_vol_below_min,"('-0.12', '-0.08')"
7,THR,2012-11-08,pre,missing_ticker,False,screen:dollar_vol_below_min,"('0.22', '0.27')"
8,JEC,2012-11-12,post,missing_ticker,True,tradeable,"('0.8', '0.8')"
9,SMTC,2012-11-28,post,match,False,screen:dollar_vol_below_min,"('0.53', '0.43')"
10,ADBE,2012-12-13,post,match,True,tradeable,"('0.61', '0.57')"
11,MCRI,2013-02-28,post,match,False,screen:dollar_vol_below_min,"('0.08', '0.16')"
12,PCMI,2013-02-28,post,missing_ticker,False,screen:dollar_vol_below_min,"('0.24', '0.23')"
13,HOMB,2013-04-18,pre,match,False,screen:dollar_vol_below_min,"('0.16', '0.15')"
14,SEIC,2013-04-24,pre,match,True,tradeable,"('0.33', '0.34')"
15,GD,2013-07-24,pre,match,True,tradeable,"('1.81', '1.62')"
16,RPT,2013-10-22,post,missing_date,False,screen:dollar_vol_below_min,"('0.05', '0.28')"
17,RS,2013-10-24,pre,match,True,tradeable,"('1.22', '1.2')"
18,SNCR,2013-11-04,post,match,False,screen:dollar_vol_below_min,"('0.34', '0.34')"
19,CRNT,2013-11-11,pre,match,False,screen:price_below_min+dollar_vol_below_min,"('-0.12', '-0.1')"
20,DY,2013-11-25,post,match,False,screen:dollar_vol_below_min,"('0.54', '0.46')"
21,CRAY,2014-02-13,post,missing_ticker,False,screen:dollar_vol_below_min,"('1.48', '1.39')"
22,SP,2014-03-05,post,missing_ticker,False,screen:dollar_vol_below_min,"('0.3', '0.22')"
23,LL,2014-04-30,pre,missing_date,True,tradeable,"('0.49', '0.63')"
24,MTB,2014-07-17,pre,match,True,tradeable,"('2.02', '1.9')"
25,FUN,2014-08-05,pre,match,False,screen:dollar_vol_below_min,"('1.12', '1.12')"
26,MVIS,2014-08-06,pre,match,False,screen:price_below_min+dollar_vol_below_min,"('-0.08', '-0.1')"
27,ZEUS,2014-08-07,pre,match,False,screen:dollar_vol_below_min,"('0.32', '0.46')"
28,WTFC,2014-10-16,post,match,False,screen:dollar_vol_below_min,"('0.79', '0.78')"
29,MCF,2014-11-10,post,missing_ticker,False,screen:dollar_vol_below_min,"('0.19', '0.28')"
30,GES,2014-12-03,post,match,True,tradeable,"('0.24', '0.18')"
31,HIVE,2015-02-11,post,missing_date,False,screen:price_below_min+dollar_vol_below_min,"('-0.09', '-0.12')"
32,DNR,2015-02-19,pre,missing_ticker,True,tradeable,"('0.27', '0.23')"
33,WLH,2015-02-20,pre,missing_ticker,False,screen:dollar_vol_below_min,"('0.52', '0.48')"
34,BCEI,2015-02-26,post,missing_ticker,True,tradeable,"('26.97', '31.46')"
35,EA,2015-07-30,post,missing_date,True,tradeable,"('0.15', '0.04')"
36,CAMT,2015-08-03,pre,match,False,screen:price_below_min+dollar_vol_below_min,"('0.03', '0.01')"
37,TVPT,2015-08-04,pre,missing_ticker,False,screen:dollar_vol_below_min,"('0.29', '0.19')"
38,BZUN,2015-08-19,pre,match,False,screen:dollar_vol_below_min,"('0.04', '0.02')"
39,MIND,2015-09-02,post,match,False,screen:price_below_min+dollar_vol_below_min,"('-0.49', '-0.26')"
40,AMBR,2015-11-05,post,missing_ticker,False,screen:price_below_min+dollar_vol_below_min,"('-0.16', '-0.2')"
41,TRIP,2016-02-11,post,mismatch,True,tradeable,"('0.45', '0.32')"
42,ARDX,2016-05-09,post,match,False,screen:dollar_vol_below_min,"('-0.7', '-0.65')"
43,GCP,2016-05-10,pre,missing_ticker,False,screen:dollar_vol_below_min,"('0.31', '0.17')"
44,PSTG,2016-05-25,post,missing_ticker,True,tradeable,"('-0.22', '-0.23')"
45,MSM,2016-07-06,pre,match,True,tradeable,"('1.05', '1.0')"
46,HMST,2016-07-25,post,match,False,screen:dollar_vol_below_min,"('0.9', '0.68')"
47,EURN,2016-07-28,pre,missing_date,False,screen:dollar_vol_below_min,"('0.35', '0.38')"
48,COTY,2016-08-16,pre,match,True,tradeable,"('0.13', '0.06')"
49,RRC,2016-10-25,post,match,True,tradeable,"('-0.06', '-0.15')"
50,CL,2016-10-27,pre,match,True,tradeable,"('0.73', '0.73')"
51,MAN,2017-04-21,pre,match,True,tradeable,"('1.09', '1.11')"
52,POR,2017-04-28,pre,match,True,tradeable,"('0.82', '0.82')"
53,KEM,2017-05-10,pre,missing_ticker,False,screen:dollar_vol_below_min,"('0.14', '0.1')"
54,PZN,2017-07-18,post,missing_ticker,False,screen:dollar_vol_below_min,"('0.15', '0.12')"
55,HBCP,2017-07-25,pre,match,False,screen:dollar_vol_below_min,"('0.66', '0.62')"
56,DATA,2017-08-02,post,missing_ticker,True,tradeable,"('0.1', '-0.05')"
57,PPC,2017-08-02,post,match,True,tradeable,"('0.93', '0.85')"
58,BANF,2017-10-19,post,match,False,screen:dollar_vol_below_min,"('0.67', '0.71')"
59,TFSL,2017-10-30,post,match,False,screen:dollar_vol_below_min,"('0.08', '0.08')"
60,BMO,2017-12-05,pre,match,True,tradeable,"('1.55', '1.58')"
61,HRS,2018-01-30,pre,missing_ticker,True,tradeable,"('1.67', '1.4')"
62,EMKR,2018-02-06,pre,match,False,screen:dollar_vol_below_min,"('0.03', '0.09')"
63,CINF,2018-02-07,post,match,True,tradeable,"('0.93', '0.86')"
64,SUI,2018-02-21,post,match,True,tradeable,"('0.09', '0.98')"
65,AMKR,2018-04-26,post,match,False,screen:dollar_vol_below_min,"('0.04', '0.05')"
66,HRC,2018-04-27,pre,missing_ticker,True,tradeable,"('1.05', '1.02')"
67,CAR,2018-08-07,post,match,True,tradeable,"('0.57', '0.55')"
68,IIVI,2018-08-07,pre,missing_ticker,True,tradeable,"('0.52', '0.39')"
69,OFG,2018-10-19,pre,match,False,screen:dollar_vol_below_min,"('0.42', '0.37')"
70,GNK,2018-11-07,post,match,False,screen:dollar_vol_below_min,"('0.1', '0.09')"
71,PYPL,2019-01-30,post,match,True,tradeable,"('0.69', '0.67')"
72,BXG,2019-02-22,pre,missing_ticker,False,screen:dollar_vol_below_min,"('0.27', '0.238')"
73,RGA,2019-04-29,post,match,True,tradeable,"('2.61', '2.63')"
74,WMGI,2019-05-07,post,missing_ticker,True,tradeable,"('0.05', '0.029')"
75,UAA,2019-07-30,pre,match,True,tradeable,"('-0.03', '-0.054')"
76,ICE,2019-08-01,pre,match,True,tradeable,"('0.94', '0.924')"
77,SRT,2019-08-07,post,missing_ticker,False,screen:dollar_vol_below_min,"('-0.1', '0.0')"
78,DOMO,2019-09-05,post,match,False,screen:dollar_vol_below_min,"('-0.96', '-0.987')"
79,LIND,2019-10-30,pre,match,False,screen:dollar_vol_below_min,"('-0.01', '0.217')"
80,QTNT,2019-11-04,pre,missing_ticker,False,screen:dollar_vol_below_min,"('-0.41', '-0.397')"
81,LYTS,2020-04-23,pre,match,False,screen:dollar_vol_below_min,"('-0.04', '-0.075')"
82,APEN,2020-05-04,post,missing_ticker,False,no_anchor_session,"('-0.49', '-0.49')"
83,GDP,2020-05-07,pre,missing_ticker,False,screen:dollar_vol_below_min,"('-0.3', '0.14')"
84,GPX,2020-05-11,pre,missing_ticker,False,screen:dollar_vol_below_min,"('-0.11', '0.085')"
85,MGEN,2020-08-05,post,missing_ticker,False,screen:price_below_min+dollar_vol_below_min,"('-0.12', '-0.165')"
86,ZIXI,2020-08-05,post,missing_ticker,False,screen:dollar_vol_below_min,"('0.15', '0.138')"
87,SRRA,2020-08-06,pre,missing_ticker,False,screen:dollar_vol_below_min,"('-1.58', '-1.626')"
88,QTNT,2020-11-02,pre,missing_ticker,False,screen:price_below_min+dollar_vol_below_min,"('-0.18', '-0.329')"
89,ANIK,2020-11-04,post,match,False,screen:dollar_vol_below_min,"('-0.45', '-0.01')"
90,GEVO,2020-11-10,post,match,False,screen:price_below_min,"('-0.08', '-0.1')"
91,DXCM,2021-02-11,post,match,True,tradeable,"('0.91', '0.923')"
92,JYNT,2021-03-04,post,match,False,screen:dollar_vol_below_min,"('0.72', '0.137')"
93,CSTM,2021-04-28,pre,match,True,tradeable,"('0.32', '0.067')"
94,BSVN,2021-04-29,pre,match,False,screen:dollar_vol_below_min,"('0.56', '0.517')"
95,NXST,2021-05-04,pre,match,True,tradeable,"('4.42', '3.494')"
96,DRH,2021-05-06,post,match,False,integrity:incomplete_integrity_window,"('-0.82', '-0.28')"
97,EGRX,2021-05-10,pre,match,False,screen:dollar_vol_below_min,"('0.24', '0.65')"
98,HCKT,2021-05-11,post,match,False,integrity:incomplete_integrity_window,"('0.27', '0.25')"
99,LPG,2021-05-19,pre,match,False,integrity:incomplete_integrity_window,"('0.86', '0.867')"
100,CANG,2021-05-31,post,match,False,integrity:incomplete_integrity_window,"('-1.7', '0.62')"
