sample_id,symbol,release_date,release_time,verified_date,verified_release_time,source_url,source_type,status,notes
1,FCFS,2012-10-17,pre,,,,sec_edgar_item202,ambiguous,8-K accepted 2012-10-17T15:45:23.000Z (ET) and no EX-99 call-time/date evidence is conclusive
2,SPSC,2012-10-25,post,2012-10-25,post,https://www.sec.gov/Archives/edgar/data/1092699/000117184312003785/,sec_edgar_item202,verified,8-K (Date of Report 2012-10-25) accepted 2012-10-25T20:07:24.000Z (ET) => post
3,RS,2012-10-25,pre,2012-10-25,pre,https://www.sec.gov/Archives/edgar/data/861884/000115752312005379/,sec_edgar_item202,verified,"8-K (Date of Report 2012-10-25) accepted 2012-10-25T12:50:21.000Z (ET), EX-99 call@sameday-am 2012-10-25 => pre"
4,IRDM,2012-11-01,pre,2012-11-01,pre,https://www.sec.gov/Archives/edgar/data/1418819/000119312512445093/,sec_edgar_item202,verified,"8-K (Date of Report 2012-11-01) accepted 2012-11-01T11:06:00.000Z (ET), EX-99 call@sameday-am 2012-11-01 => pre"
5,XEC,2012-11-02,pre,2012-11-02,pre,https://www.sec.gov/Archives/edgar/data/1168054/000114420412059059/,sec_edgar_item202,verified,"8-K (Date of Report 2012-11-02) accepted 2012-11-02T06:15:48.000Z (ET), EX-99 call@today-am => pre"
6,WSTL,2012-11-05,post,2012-11-05,post,https://www.sec.gov/Archives/edgar/data/1002135/000119312512451848/,sec_edgar_item202,verified,"8-K (Date of Report 2012-11-05) accepted 2012-11-05T16:22:55.000Z (ET), EX-99 call@nextday-am 2012-11-06 => post"
7,THR,2012-11-08,pre,2012-11-08,pre,https://www.sec.gov/Archives/edgar/data/1489096/000148909612000016/,sec_edgar_item202,verified,"8-K (Date of Report 2012-11-08) accepted 2012-11-08T14:04:48.000Z (ET), EX-99 call@today-am => pre"
8,JEC,2012-11-12,post,2012-11-12,post,https://www.sec.gov/Archives/edgar/data/52988/000005298812000079/,sec_edgar_item202,verified,"8-K (Date of Report 2012-11-12) accepted 2012-11-13T14:10:32.000Z (ET), EX-99 call@nextday-am 2012-11-13 => post"
9,SMTC,2012-11-28,post,2012-11-28,post,https://www.sec.gov/Archives/edgar/data/88941/000115752312006215/,sec_edgar_item202,verified,8-K (Date of Report 2012-11-28) accepted 2012-11-28T21:30:09.000Z (ET) => post
10,ADBE,2012-12-13,post,2012-12-13,post,https://www.sec.gov/Archives/edgar/data/796343/000079634312000033/,sec_edgar_item202,verified,"8-K (Date of Report 2012-12-13) accepted 2012-12-13T21:06:17.000Z (ET), EX-99 call@today-pm => post"
11,MCRI,2013-02-28,post,2013-02-28,post,https://www.sec.gov/Archives/edgar/data/907242/000110262413000258/,sec_edgar_item202,verified,8-K (Date of Report 2013-02-28) accepted 2013-02-28T21:26:22.000Z (ET) => post
12,PCMI,2013-02-28,post,2013-02-28,post,https://www.sec.gov/Archives/edgar/data/937941/000110465913015981/,sec_edgar_item202,verified,"8-K (Date of Report 2013-02-28) accepted 2013-02-28T16:03:28.000Z (ET), EX-99 call@2013-02-28 pm => post"
13,HOMB,2013-04-18,pre,2013-04-18,post,https://www.sec.gov/Archives/edgar/data/1331520/000117184313001397/,sec_edgar_item202,verified,"8-K (Date of Report 2013-04-18) accepted 2013-04-18T13:15:25.000Z (ET), EX-99 call@2013-04-18 pm => post"
14,SEIC,2013-04-24,pre,2013-04-24,post,https://www.sec.gov/Archives/edgar/data/350894/000035089413000011/,sec_edgar_item202,verified,"10-Q (Date of Report 2013-04-24) accepted 2013-04-26T20:17:58.000Z (ET), EX-99 call@2013-04-24 pm => post"
