sample_id,symbol,release_date,release_time,verified_date,verified_release_time,source_url,source_type,status,notes
1,FCFS,2012-10-17,pre,,,,,pending,
2,SPSC,2012-10-25,post,,,,,pending,
3,RS,2012-10-25,pre,,,,,pending,
4,IRDM,2012-11-01,pre,,,,,pending,
5,XEC,2012-11-02,pre,,,,,pending,
6,WSTL,2012-11-05,post,,,,,pending,
7,THR,2012-11-08,pre,,,,,pending,
8,JEC,2012-11-12,post,,,,,pending,
9,SMTC,2012-11-28,post,,,,,pending,
10,ADBE,2012-12-13,post,,,,,pending,
11,MCRI,2013-02-28,post,,,,,pending,
12,PCMI,2013-02-28,post,,,,,pending,
13,HOMB,2013-04-18,pre,,,,,pending,
14,SEIC,2013-04-24,pre,,,,,pending,
15,GD,2013-07-24,pre,,,,,pending,
16,RPT,2013-10-22,post,,,,,pending,
17,RS,2013-10-24,pre,,,,,pending,
18,SNCR,2013-11-04,post,,,,,pending,
19,CRNT,2013-11-11,pre,,,,,pending,
20,DY,2013-11-25,post,,,,,pending,
21,CRAY,2014-02-13,post,,,,,pending,
22,SP,2014-03-05,post,,,,,pending,
23,LL,2014-04-30,pre,,,,,pending,
24,MTB,2014-07-17,pre,,,,,pending,
25,FUN,2014-08-05,pre,,,,,pending,
26,MVIS,2014-08-06,pre,,,,,pending,
27,ZEUS,2014-08-07,pre,,,,,pending,
28,WTFC,2014-10-16,post,,,,,pending,
29,MCF,2014-11-10,post,,,,,pending,
30,GES,2014-12-03,post,,,,,pending,
31,HIVE,2015-02-11,post,,,,,pending,
32,DNR,2015-02-19,pre,,,,,pending,
33,WLH,2015-02-20,pre,,,,,pending,
34,BCEI,2015-02-26,post,,,,,pending,
35,EA,2015-07-30,post,,,,,pending,
36,CAMT,2015-08-03,pre,,,,,pending,
37,TVPT,2015-08-04,pre,,,,,pending,
38,BZUN,2015-08-19,pre,,,,,pending,
39,MIND,2015-09-02,post,,,,,pending,
40,AMBR,2015-11-05,post,,,,,pending,
41,TRIP,2016-02-11,post,,,,,pending,
42,ARDX,2016-05-09,post,,,,,pending,
43,GCP,2016-05-10,pre,,,,,pending,
44,PSTG,2016-05-25,post,,,,,pending,
45,MSM,2016-07-06,pre,,,,,pending,
46,HMST,2016-07-25,post,,,,,pending,
47,EURN,2016-07-28,pre,,,,,pending,
48,COTY,2016-08-16,pre,,,,,pending,
49,RRC,2016-10-25,post,,,,,pending,
50,CL,2016-10-27,pre,,,,,pending,
51,MAN,2017-04-21,pre,,,,,pending,
52,POR,2017-04-28,pre,,,,,pending,
53,KEM,2017-05-10,pre,,,,,pending,
54,PZN,2017-07-18,post,,,,,pending,
55,HBCP,2017-07-25,pre,,,,,pending,
56,DATA,2017-08-02,post,,,,,pending,
57,PPC,2017-08-02,post,,,,,pending,
58,BANF,2017-10-19,post,,,,,pending,
59,TFSL,2017-10-30,post,,,,,pending,
60,BMO,2017-12-05,pre,,,,,pending,
61,HRS,2018-01-30,pre,,,,,pending,
62,EMKR,2018-02-06,pre,,,,,pending,
63,CINF,2018-02-07,post,,,,,pending,
64,SUI,2018-02-21,post,,,,,pending,
65,AMKR,2018-04-26,post,,,,,pending,
66,HRC,2018-04-27,pre,,,,,pending,
67,CAR,2018-08-07,post,,,,,pending,
68,IIVI,2018-08-07,pre,,,,,pending,
69,OFG,2018-10-19,pre,,,,,pending,
70,GNK,2018-11-07,post,,,,,pending,
71,PYPL,2019-01-30,post,,,,,pending,
72,BXG,2019-02-22,pre,,,,,pending,
73,RGA,2019-04-29,post,,,,,pending,
74,WMGI,2019-05-07,post,,,,,pending,
75,UAA,2019-07-30,pre,,,,,pending,
76,ICE,2019-08-01,pre,,,,,pending,
77,SRT,2019-08-07,post,,,,,pending,
78,DOMO,2019-09-05,post,,,,,pending,
79,LIND,2019-10-30,pre,,,,,pending,
80,QTNT,2019-11-04,pre,,,,,pending,
81,LYTS,2020-04-23,pre,,,,,pending,
82,APEN,2020-05-04,post,,,,,pending,
83,GDP,2020-05-07,pre,,,,,pending,
84,GPX,2020-05-11,pre,,,,,pending,
85,MGEN,2020-08-05,post,,,,,pending,
86,ZIXI,2020-08-05,post,,,,,pending,
87,SRRA,2020-08-06,pre,,,,,pending,
88,QTNT,2020-11-02,pre,,,,,pending,
89,ANIK,2020-11-04,post,,,,,pending,
90,GEVO,2020-11-10,post,,,,,pending,
91,DXCM,2021-02-11,post,,,,,pending,
92,JYNT,2021-03-04,post,,,,,pending,
93,CSTM,2021-04-28,pre,,,,,pending,
94,BSVN,2021-04-29,pre,,,,,pending,
95,NXST,2021-05-04,pre,,,,,pending,
96,DRH,2021-05-06,post,,,,,pending,
97,EGRX,2021-05-10,pre,,,,,pending,
98,HCKT,2021-05-11,post,,,,,pending,
99,LPG,2021-05-19,pre,,,,,pending,
100,CANG,2021-05-31,post,,,,,pending,
