set,horizon,ltile,sig,n,mean_bps
IS,5,0,-1,594871,49.305407697966565
IS,5,0,0,7882,31.396362023679785
IS,5,0,1,639106,11.500536515391063
IS,5,1,-1,594885,47.74746185430481
IS,5,1,0,8636,35.203573187980815
IS,5,1,1,636593,9.19162452641713
IS,5,2,-1,593013,48.03775492517474
IS,5,2,0,9963,24.126012884382057
IS,5,2,1,637349,12.186570739387491
IS,5,3,-1,596259,42.613381167429196
IS,5,3,0,15560,16.52352988673821
IS,5,3,1,628701,17.275458041277016
IS,5,4,-1,595081,50.71669808391596
IS,5,4,0,32768,47.21289046522628
IS,5,4,1,612874,25.726889037238806
IS,21,0,-1,594687,134.19270392740052
IS,21,0,0,7879,130.61198700694587
IS,21,0,1,639002,84.49637408981131
IS,21,1,-1,594700,126.18962332065891
IS,21,1,0,8634,103.1590433157128
IS,21,1,1,636483,75.66929120982172
IS,21,2,-1,592808,129.2928805719595
IS,21,2,0,9961,108.7501452488847
IS,21,2,1,637249,75.71679896124047
IS,21,3,-1,595892,135.50603237988705
IS,21,3,0,15545,101.31579871982593
IS,21,3,1,628536,87.01955559830414
IS,21,4,-1,594354,169.49099648601037
IS,21,4,0,32702,198.06217956931732
IS,21,4,1,612404,123.68818702983445
OOS,5,0,-1,1138928,37.59369567622716
OOS,5,0,0,12182,24.67770178515498
OOS,5,0,1,1288810,20.369482215735033
OOS,5,1,-1,1132935,37.141840715487085
OOS,5,1,0,13071,20.30626540400918
OOS,5,1,1,1291872,18.51442419290623
OOS,5,2,-1,1137700,35.11025510355596
OOS,5,2,0,12623,16.003796825863336
OOS,5,2,1,1288472,20.312445107314502
OOS,5,3,-1,1136458,37.398649804187166
OOS,5,3,0,21321,16.923121143789505
OOS,5,3,1,1281594,20.874093208073973
OOS,5,4,-1,1117909,35.128725573596085
OOS,5,4,0,46973,15.712752929260201
OOS,5,4,1,1268117,21.755103813768226
OOS,21,0,-1,1128214,143.38701538881884
OOS,21,0,0,12077,96.47663689942681
OOS,21,0,1,1278538,89.00422323714649
OOS,21,1,-1,1122291,141.52110187992332
OOS,21,1,0,12972,106.41648771314804
OOS,21,1,1,1281777,81.88818248187083
OOS,21,2,-1,1126489,138.7947380169007
OOS,21,2,0,12514,73.25166221083707
OOS,21,2,1,1278075,86.76310072001057
OOS,21,3,-1,1124704,140.54450246956742
OOS,21,3,0,21141,77.55716041099068
OOS,21,3,1,1270850,89.79067797457813
OOS,21,4,-1,1101727,130.43883949657013
OOS,21,4,0,46015,86.94698769459528
OOS,21,4,1,1251639,93.80950419944394
