set,key,tile,horizon,n,mean_bps
IS,A:prior1d,0,1,1242797,11.89786056941164
IS,A:prior1d,1,1,1241235,6.057789210179383
IS,A:prior1d,2,1,1241190,5.090984858051456
IS,A:prior1d,3,1,1241232,4.7865389136544065
IS,A:prior1d,4,1,1242288,3.4282636627901146
IS,A:prior1d,0,5,1242520,54.90733386627425
IS,A:prior1d,1,5,1241163,31.7780964711918
IS,A:prior1d,2,5,1241115,24.518894989142623
IS,A:prior1d,3,5,1241171,22.362829948776795
IS,A:prior1d,4,5,1242082,21.759520719632427
IS,A:prior1d,0,21,1241442,168.08647658692797
IS,A:prior1d,1,21,1240849,111.48022448213148
IS,A:prior1d,2,21,1240838,97.73155433474055
IS,A:prior1d,3,21,1240885,92.07153019772136
IS,A:prior1d,4,21,1241326,100.51331055387602
OOS,A:prior1d,0,1,2445496,9.096017425801774
OOS,A:prior1d,1,1,2444513,5.83410900641871
OOS,A:prior1d,2,1,2444398,5.433307395290686
OOS,A:prior1d,3,1,2444749,4.365646717421812
OOS,A:prior1d,4,1,2445607,2.967198438337497
OOS,A:prior1d,0,5,2438294,41.46564424710283
OOS,A:prior1d,1,5,2438731,28.000173694036928
OOS,A:prior1d,2,5,2438692,25.609418402368036
OOS,A:prior1d,3,5,2439329,23.11107547467648
OOS,A:prior1d,4,5,2439264,20.973239165186758
OOS,A:prior1d,0,21,2410021,143.2323246758745
OOS,A:prior1d,1,21,2415528,110.77563121608635
OOS,A:prior1d,2,21,2416044,105.53036990859856
OOS,A:prior1d,3,21,2417365,101.92253091502212
OOS,A:prior1d,4,21,2415359,97.55585821091077
IS,A:prior5d,0,1,1241901,14.957923833145973
IS,A:prior5d,1,1,1240305,6.656334284912734
IS,A:prior5d,2,1,1240324,4.8778345653070145
IS,A:prior5d,3,1,1240313,3.515949111345267
IS,A:prior5d,4,1,1241389,1.054859198103679
IS,A:prior5d,0,5,1241494,74.51861415490667
IS,A:prior5d,1,5,1240252,32.180141806481124
IS,A:prior5d,2,5,1240267,22.55360543579916
IS,A:prior5d,3,5,1240262,15.350243702688411
IS,A:prior5d,4,5,1241266,10.124351945296972
IS,A:prior5d,0,21,1240256,203.53266617726737
IS,A:prior5d,1,21,1239933,115.11644651595262
IS,A:prior5d,2,21,1240006,94.61170840295817
IS,A:prior5d,3,21,1239992,78.59866797703066
IS,A:prior5d,4,21,1240649,76.51728528139982
OOS,A:prior5d,0,1,2444084,10.761894916613457
OOS,A:prior5d,1,1,2443460,6.024379688867371
OOS,A:prior5d,2,1,2443600,5.109372426217298
OOS,A:prior5d,3,1,2443706,3.682015142456942
OOS,A:prior5d,4,1,2444558,2.1328653604385113
OOS,A:prior5d,0,5,2435280,50.34105558980104
OOS,A:prior5d,1,5,2437746,28.509981802188438
OOS,A:prior5d,2,5,2438100,24.916278658770533
OOS,A:prior5d,3,5,2438686,20.454815154814547
OOS,A:prior5d,4,5,2439153,14.938507322276083
OOS,A:prior5d,0,21,2404815,163.83653622348237
OOS,A:prior5d,1,21,2414961,113.76699317093295
OOS,A:prior5d,2,21,2415527,103.45242663826309
OOS,A:prior5d,3,21,2417111,96.08034408134226
OOS,A:prior5d,4,21,2416609,81.9895538893248
