horizon,tile,n,mean_bps,median_bps,set
1,0,1771707,6.754160727654004,0.0,IS-all
1,1,1769815,6.27678342531608,0.0,IS-all
1,2,1769826,6.954388613118135,0.0,IS-all
1,3,1769306,7.196173887336906,0.0,IS-all
1,4,1769544,14.507073969444038,0.0,IS-all
5,0,1771667,31.84170582735466,17.42707767905527,IS-all
5,1,1769777,29.836050722817685,15.106826846991162,IS-all
5,2,1769739,32.4579919890592,10.749016781110843,IS-all
5,3,1769124,34.0841888837136,0.0,IS-all
5,4,1768586,52.20174991402023,0.0,IS-all
21,0,1771344,118.59691923846307,90.97835629007234,IS-all
21,1,1769493,108.98614581255184,80.73403286857462,IS-all
21,2,1769161,117.93936226657178,75.5981907905312,IS-all
21,3,1768284,138.396965180576,62.07641942545972,IS-all
21,4,1764699,162.54207893965253,0.0,IS-all
1,0,3098591,5.651967639975358,2.4533856722297465,OOS-all
1,1,3096068,5.261926558983175,2.19353724966731,OOS-all
1,2,3096985,5.906599162048511,0.0,OOS-all
1,3,3096050,5.963288913368368,0.0,OOS-all
1,4,3092671,12.407996097648253,0.0,OOS-all
5,0,3092337,26.761424057335752,20.20750176726427,OOS-all
5,1,3090007,25.117197178312935,19.85743038119603,OOS-all
5,2,3091388,27.6777630187539,18.028987324045787,OOS-all
5,3,3089533,26.707641452185886,10.395010395012338,OOS-all
5,4,3081626,41.55223687169554,0.0,OOS-all
21,0,3067831,104.57037652319877,83.33333333333303,OOS-all
21,1,3065205,97.29711818894108,81.4455022343119,OOS-all
21,2,3066601,104.313400468679,74.3417160945814,OOS-all
21,3,3062203,97.59248520089123,51.81347150259086,OOS-all
21,4,3040723,126.72482672860676,16.440470398766394,OOS-all
1,0,1569998,4.823850630077931,0.0,IS-liquid
1,1,1525685,4.334808150352015,0.0,IS-liquid
1,2,1448567,4.5265059026867,0.0,IS-liquid
1,3,1212655,2.653787318596959,0.0,IS-liquid
1,4,451402,2.473619918513432,0.0,IS-liquid
5,0,1569975,22.0996509506434,15.003261578605542,IS-liquid
5,1,1525658,20.755967855471635,12.943530018849625,IS-liquid
5,2,1448523,20.443702193637826,10.28428707852802,IS-liquid
5,3,1212549,14.926497619037157,5.533385846250294,IS-liquid
5,4,451348,15.113084684443098,0.0,IS-liquid
21,0,1569804,81.06920642344812,77.48147495912127,IS-liquid
21,1,1525488,70.10120883391852,66.89637681654648,IS-liquid
21,2,1448227,71.64206713153153,65.68774742567784,IS-liquid
21,3,1212236,62.176440666055285,51.99333195546107,IS-liquid
21,4,451145,51.61061392110174,24.83443708609201,IS-liquid
1,0,2842958,4.650896638984111,3.9441198730783,OOS-liquid
1,1,2841103,4.32371529789331,3.9108330074300035,OOS-liquid
1,2,2770730,4.5569580452982,3.5000786561056874,OOS-liquid
1,3,2436313,3.8535388337924705,0.0,OOS-liquid
1,4,1336777,2.051383630106621,0.0,OOS-liquid
5,0,2837870,23.13285230613344,22.438376257967185,OOS-liquid
5,1,2836098,21.997176495894042,22.22761251669425,OOS-liquid
5,2,2766274,22.240076656358077,20.85070892410279,OOS-liquid
5,3,2431814,18.73354835083345,15.489628929311605,OOS-liquid
5,4,1332736,11.698286900560612,8.325808633433684,OOS-liquid
21,0,2818020,94.02941701510777,88.96797153024937,OOS-liquid
21,1,2815905,88.85839788380376,87.4794969928927,OOS-liquid
21,2,2746307,88.49865434244353,81.15228592030954,OOS-liquid
21,3,2413321,72.16167864435201,62.350028887230295,OOS-liquid
21,4,1317293,44.75040781319896,41.7849898580136,OOS-liquid
