date,time_et,tz,type,note
2010-01-08,08:30,America/New_York,NFP,bls_schedule
2010-02-05,08:30,America/New_York,NFP,bls_schedule
2010-03-05,08:30,America/New_York,NFP,bls_schedule
2010-04-02,08:30,America/New_York,NFP,bls_schedule
2010-05-07,08:30,America/New_York,NFP,bls_schedule
2010-06-04,08:30,America/New_York,NFP,bls_schedule
2010-07-02,08:30,America/New_York,NFP,bls_schedule
2010-08-06,08:30,America/New_York,NFP,bls_schedule
2010-09-03,08:30,America/New_York,NFP,bls_schedule
2010-10-08,08:30,America/New_York,NFP,bls_schedule
2010-11-05,08:30,America/New_York,NFP,bls_schedule
2010-12-03,08:30,America/New_York,NFP,bls_schedule
2011-01-07,08:30,America/New_York,NFP,bls_schedule
2011-02-04,08:30,America/New_York,NFP,bls_schedule
2011-03-04,08:30,America/New_York,NFP,bls_schedule
2011-04-01,08:30,America/New_York,NFP,bls_schedule
2011-05-06,08:30,America/New_York,NFP,bls_schedule
2011-06-03,08:30,America/New_York,NFP,bls_schedule
2011-07-08,08:30,America/New_York,NFP,bls_schedule
2011-08-05,08:30,America/New_York,NFP,bls_schedule
2011-09-02,08:30,America/New_York,NFP,bls_schedule
2011-10-07,08:30,America/New_York,NFP,bls_schedule
2011-11-04,08:30,America/New_York,NFP,bls_schedule
2011-12-02,08:30,America/New_York,NFP,bls_schedule
2012-01-06,08:30,America/New_York,NFP,bls_schedule
2012-02-03,08:30,America/New_York,NFP,bls_schedule
2012-03-09,08:30,America/New_York,NFP,bls_schedule
2012-04-06,08:30,America/New_York,NFP,bls_schedule
2012-05-04,08:30,America/New_York,NFP,bls_schedule
2012-06-01,08:30,America/New_York,NFP,bls_schedule
2012-07-06,08:30,America/New_York,NFP,bls_schedule
2012-08-03,08:30,America/New_York,NFP,bls_schedule
2012-09-07,08:30,America/New_York,NFP,bls_schedule
2012-10-05,08:30,America/New_York,NFP,bls_schedule
2012-11-02,08:30,America/New_York,NFP,bls_schedule
2012-12-07,08:30,America/New_York,NFP,bls_schedule
2013-01-04,08:30,America/New_York,NFP,bls_schedule
2013-02-01,08:30,America/New_York,NFP,bls_schedule
2013-03-08,08:30,America/New_York,NFP,bls_schedule
2013-04-05,08:30,America/New_York,NFP,bls_schedule
2013-05-03,08:30,America/New_York,NFP,bls_schedule
2013-06-07,08:30,America/New_York,NFP,bls_schedule
2013-07-05,08:30,America/New_York,NFP,bls_schedule
2013-08-02,08:30,America/New_York,NFP,bls_schedule
2013-09-06,08:30,America/New_York,NFP,bls_schedule
2013-10-22,08:30,America/New_York,NFP,bls_schedule
2013-11-08,08:30,America/New_York,NFP,bls_schedule
2013-12-06,08:30,America/New_York,NFP,bls_schedule
2014-01-10,08:30,America/New_York,NFP,bls_schedule
2014-02-07,08:30,America/New_York,NFP,bls_schedule
2014-03-07,08:30,America/New_York,NFP,bls_schedule
2014-04-04,08:30,America/New_York,NFP,bls_schedule
2014-05-02,08:30,America/New_York,NFP,bls_schedule
2014-06-06,08:30,America/New_York,NFP,bls_schedule
2014-07-03,08:30,America/New_York,NFP,bls_schedule
2014-08-01,08:30,America/New_York,NFP,bls_schedule
2014-09-05,08:30,America/New_York,NFP,bls_schedule
2014-10-03,08:30,America/New_York,NFP,bls_schedule
2014-11-07,08:30,America/New_York,NFP,bls_schedule
2014-12-05,08:30,America/New_York,NFP,bls_schedule
2015-01-09,08:30,America/New_York,NFP,bls_schedule
2015-02-06,08:30,America/New_York,NFP,bls_schedule
2015-03-06,08:30,America/New_York,NFP,bls_schedule
2015-04-03,08:30,America/New_York,NFP,bls_schedule
2015-05-08,08:30,America/New_York,NFP,bls_schedule
2015-06-05,08:30,America/New_York,NFP,bls_schedule
2015-07-02,08:30,America/New_York,NFP,bls_schedule
2015-08-07,08:30,America/New_York,NFP,bls_schedule
2015-09-04,08:30,America/New_York,NFP,bls_schedule
2015-10-02,08:30,America/New_York,NFP,bls_schedule
2015-11-06,08:30,America/New_York,NFP,bls_schedule
2015-12-04,08:30,America/New_York,NFP,bls_schedule
2016-01-08,08:30,America/New_York,NFP,bls_schedule
2016-02-05,08:30,America/New_York,NFP,bls_schedule
2016-03-04,08:30,America/New_York,NFP,bls_schedule
2016-04-01,08:30,America/New_York,NFP,bls_schedule
2016-05-06,08:30,America/New_York,NFP,bls_schedule
2016-06-03,08:30,America/New_York,NFP,bls_schedule
2016-07-08,08:30,America/New_York,NFP,bls_schedule
2016-08-05,08:30,America/New_York,NFP,bls_schedule
2016-09-02,08:30,America/New_York,NFP,bls_schedule
2016-10-07,08:30,America/New_York,NFP,bls_schedule
2016-11-04,08:30,America/New_York,NFP,bls_schedule
2016-12-02,08:30,America/New_York,NFP,bls_schedule
2017-01-06,08:30,America/New_York,NFP,bls_schedule
2017-02-03,08:30,America/New_York,NFP,bls_schedule
2017-03-10,08:30,America/New_York,NFP,bls_schedule
2017-04-07,08:30,America/New_York,NFP,bls_schedule
2017-05-05,08:30,America/New_York,NFP,bls_schedule
2017-06-02,08:30,America/New_York,NFP,bls_schedule
2017-07-07,08:30,America/New_York,NFP,bls_schedule
2017-08-04,08:30,America/New_York,NFP,bls_schedule
2017-09-01,08:30,America/New_York,NFP,bls_schedule
2017-10-06,08:30,America/New_York,NFP,bls_schedule
2017-11-03,08:30,America/New_York,NFP,bls_schedule
2017-12-08,08:30,America/New_York,NFP,bls_schedule
2018-01-05,08:30,America/New_York,NFP,bls_schedule
2018-02-02,08:30,America/New_York,NFP,bls_schedule
2018-03-09,08:30,America/New_York,NFP,bls_schedule
2018-04-06,08:30,America/New_York,NFP,bls_schedule
2018-05-04,08:30,America/New_York,NFP,bls_schedule
2018-06-01,08:30,America/New_York,NFP,bls_schedule
2018-07-06,08:30,America/New_York,NFP,bls_schedule
2018-08-03,08:30,America/New_York,NFP,bls_schedule
2018-09-07,08:30,America/New_York,NFP,bls_schedule
2018-10-05,08:30,America/New_York,NFP,bls_schedule
2018-11-02,08:30,America/New_York,NFP,bls_schedule
2018-12-07,08:30,America/New_York,NFP,bls_schedule
2019-01-04,08:30,America/New_York,NFP,bls_schedule
