event_date,type,t0,n_c5_bars,c5_full,prior_median_range,c5_median_range
2011-09-21,FOMC,2011-09-21T19:15:00,0,False,0.0,
2012-01-25,FOMC,2012-01-25T19:15:00,0,False,0.0,
2012-02-03,NFP,2012-02-03T13:30:00,5,True,3.1350000000002183,9.969999999999345
2012-03-09,NFP,2012-03-09T13:30:00,5,True,2.3799999999996544,5.349999999999454
2012-03-13,FOMC,2012-03-13T18:15:00,0,False,3.730000000000018,
2012-04-06,NFP,2012-04-06T13:30:00,0,False,,
2012-05-04,NFP,2012-05-04T13:30:00,5,True,3.6500000000005457,9.849999999999454
2012-06-01,NFP,2012-06-01T13:30:00,5,True,4.385000000000218,9.63000000000011
2012-08-03,NFP,2012-08-03T13:30:00,5,True,3.3299999999994725,6.4399999999996
2012-09-07,NFP,2012-09-07T13:30:00,5,True,3.2649999999998727,7.1599999999998545
2012-10-05,NFP,2012-10-05T13:30:00,5,True,2.2799999999997453,4.430000000000291
2012-11-02,NFP,2012-11-02T12:30:00,5,True,2.5900000000001455,5.289999999999964
2012-12-07,NFP,2012-12-07T13:30:00,5,True,1.8449999999998,6.010000000000218
2013-01-04,NFP,2013-01-04T13:30:00,5,True,1.9500000000002728,6.1599999999998545
2013-02-01,NFP,2013-02-01T13:30:00,5,True,2.3849999999997635,6.889999999999418
2013-03-08,NFP,2013-03-08T13:30:00,5,True,2.3099999999999454,5.899999999999636
2013-03-20,FOMC,2013-03-20T18:15:00,0,False,4.4099999999998545,
2013-04-05,NFP,2013-04-05T13:30:00,5,True,3.1149999999997817,11.25
2013-05-03,NFP,2013-05-03T13:30:00,5,True,2.4599999999995816,9.55999999999949
2013-06-07,NFP,2013-06-07T13:30:00,5,True,5.0,9.0
2013-06-19,FOMC,2013-06-19T19:15:00,5,True,3.0,15.0
2013-07-05,NFP,2013-07-05T13:30:00,5,True,7.0,26.0
2013-07-31,FOMC,2013-07-31T19:15:00,5,True,3.0,8.0
2013-08-02,NFP,2013-08-02T13:30:00,5,True,4.0,11.0
2013-09-06,NFP,2013-09-06T13:30:00,5,True,4.0,12.0
2013-09-18,FOMC,2013-09-18T19:15:00,5,True,2.550000000000182,8.100000000000364
2013-10-22,NFP,2013-10-22T13:30:00,5,True,1.8705000000004475,3.1409999999996217
2013-10-30,FOMC,2013-10-30T18:15:00,5,True,4.550499999999829,10.500999999999294
2013-11-08,NFP,2013-11-08T13:30:00,5,True,4.426000000000386,10.299999999999272
2013-12-06,NFP,2013-12-06T13:30:00,5,True,4.273000000000138,20.001000000000204
2013-12-18,FOMC,2013-12-18T19:15:00,5,True,4.100999999999658,11.999000000000706
2014-01-10,NFP,2014-01-10T13:30:00,5,True,3.161000000000058,14.5
2014-01-29,FOMC,2014-01-29T19:15:00,5,True,5.600500000000011,15.199999999999818
