Title: Schedule of Releases for 2016

URL Source: https://www.bls.gov/schedule/2016/home.htm

Markdown Content:
## January, 2016

| Date | Time | Release |
| --- | --- | --- |
| Friday, January 01, 2016 |  | **New Year's Day** |
| Friday, January 08, 2016 | 08:30 AM | **Employment Situation** for December 2015 |
| Tuesday, January 12, 2016 | 10:00 AM | **Job Openings and Labor Turnover Survey** for November 2015 |
| Thursday, January 14, 2016 | 08:30 AM | **U.S. Import and Export Price Indexes** for December 2015 |
| Friday, January 15, 2016 | 08:30 AM | **Producer Price Index** for December 2015 |
| Monday, January 18, 2016 |  | **Birthday of Martin Luther King, Jr.** |
| Wednesday, January 20, 2016 | 08:30 AM | **Consumer Price Index** for December 2015 |
| Wednesday, January 20, 2016 | 08:30 AM | **Real Earnings** for December 2015 |
| Friday, January 22, 2016 | 10:00 AM | **Usual Weekly Earnings of Wage and Salary Workers** for Fourth Quarter 2015 |
| Tuesday, January 26, 2016 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for December 2015 |
| Wednesday, January 27, 2016 | 10:00 AM | **Quarterly Data Series on Business Employment Dynamics** for Second Quarter 2015 |
| Thursday, January 28, 2016 | 10:00 AM | **Union Membership (Annual)** for Annual 2015 |
| Friday, January 29, 2016 | 08:30 AM | **Employment Cost Index** for Fourth Quarter 2015 |

## February, 2016

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, February 03, 2016 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for December 2015 |
| Thursday, February 04, 2016 | 08:30 AM | **Productivity and Costs (P)** for Fourth Quarter 2015 |
| Friday, February 05, 2016 | 08:30 AM | **Employment Situation** for January 2016 |
| Tuesday, February 09, 2016 | 10:00 AM | **Job Openings and Labor Turnover Survey** for December 2015 |
| Wednesday, February 10, 2016 | 10:00 AM | **Major Work Stoppages (Annual)** for Annual 2015 |
| Friday, February 12, 2016 | 08:30 AM | **U.S. Import and Export Price Indexes** for January 2016 |
| Monday, February 15, 2016 |  | **Washington's Birthday** |
| Wednesday, February 17, 2016 | 08:30 AM | **Producer Price Index** for January 2016 |
| Friday, February 19, 2016 | 08:30 AM | **Consumer Price Index** for January 2016 |
| Friday, February 19, 2016 | 08:30 AM | **Real Earnings** for January 2016 |
| Thursday, February 25, 2016 | 10:00 AM | **Volunteering in the United States** for Annual 2015 |
| Friday, February 26, 2016 | 10:00 AM | **Regional and State Unemployment (Annual)** for Annual 2015 |

## March, 2016

| Date | Time | Release |
| --- | --- | --- |
| Thursday, March 03, 2016 | 08:30 AM | **Productivity and Costs (R)** for Fourth Quarter 2015 |
| Friday, March 04, 2016 | 08:30 AM | **Employment Situation** for February 2016 |
| Wednesday, March 09, 2016 | 10:00 AM | **County Employment and Wages** for Third Quarter 2015 |
| Thursday, March 10, 2016 | 10:00 AM | **Employer Costs for Employee Compensation** for December 2015 |
| Friday, March 11, 2016 | 08:30 AM | **U.S. Import and Export Price Indexes** for February 2016 |
| Monday, March 14, 2016 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for January 2016 |
| Tuesday, March 15, 2016 | 08:30 AM | **Producer Price Index** for February 2016 |
| Wednesday, March 16, 2016 | 08:30 AM | **Consumer Price Index** for February 2016 |
| Wednesday, March 16, 2016 | 08:30 AM | **Real Earnings** for February 2016 |
| Thursday, March 17, 2016 | 10:00 AM | **Job Openings and Labor Turnover Survey** for January 2016 |
| Friday, March 18, 2016 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for January 2016 |
| Tuesday, March 22, 2016 | 10:00 AM | **Employment Situation of Veterans** for Annual 2015 |
| Thursday, March 24, 2016 | 10:00 AM | **Multifactor Productivity Trends** for Annual 2014 |
| Friday, March 25, 2016 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for February 2016 |
| Wednesday, March 30, 2016 | 10:00 AM | **Occupational Employment and Wages** for May 2015 |

## April, 2016

| Date | Time | Release |
| --- | --- | --- |
| Friday, April 01, 2016 | 08:30 AM | **Employment Situation** for March 2016 |
| Tuesday, April 05, 2016 | 10:00 AM | **Job Openings and Labor Turnover Survey** for February 2016 |
| Wednesday, April 06, 2016 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for February 2016 |
| Thursday, April 07, 2016 | 10:00 AM | **Productivity and Costs by Industry: Manufacturing Industries** for Annual 2015 |
| Friday, April 08, 2016 | 10:00 AM | **Employment Experience of Youths: Results from a Longitudinal Survey** for |
| Tuesday, April 12, 2016 | 08:30 AM | **U.S. Import and Export Price Indexes** for March 2016 |
| Wednesday, April 13, 2016 | 08:30 AM | **Producer Price Index** for March 2016 |
| Thursday, April 14, 2016 | 08:30 AM | **Consumer Price Index** for March 2016 |
| Thursday, April 14, 2016 | 08:30 AM | **Real Earnings** for March 2016 |
| Friday, April 15, 2016 | 10:00 AM | **Consumer Expenditures Survey Midyear Update** for Midyear 2014-2015 |
| Friday, April 15, 2016 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for March 2016 |
| Tuesday, April 19, 2016 | 10:00 AM | **Usual Weekly Earnings of Wage and Salary Workers** for First Quarter 2016 |
| Friday, April 22, 2016 | 10:00 AM | **Employment Characteristics of Families** for Annual 2015 |
| Wednesday, April 27, 2016 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for March 2016 |
| Wednesday, April 27, 2016 | 10:00 AM | **Quarterly Data Series on Business Employment Dynamics** for Third Quarter 2015 |
| Thursday, April 28, 2016 | 10:00 AM | **College Enrollment and Work Activity of High School Graduates** for Annual 2015 |
| Friday, April 29, 2016 | 08:30 AM | **Employment Cost Index** for First Quarter 2016 |

## May, 2016

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, May 04, 2016 | 08:30 AM | **Productivity and Costs (P)** for First Quarter 2016 |
| Thursday, May 05, 2016 | 10:00 AM | **Multifactor Productivity Trends** for Annual 2015 |
| Friday, May 06, 2016 | 08:30 AM | **Employment Situation** for April 2016 |
| Tuesday, May 10, 2016 | 10:00 AM | **Job Openings and Labor Turnover Survey** for March 2016 |
| Thursday, May 12, 2016 | 08:30 AM | **U.S. Import and Export Price Indexes** for April 2016 |
| Friday, May 13, 2016 | 08:30 AM | **Producer Price Index** for April 2016 |
| Tuesday, May 17, 2016 | 08:30 AM | **Consumer Price Index** for April 2016 |
| Tuesday, May 17, 2016 | 08:30 AM | **Real Earnings** for April 2016 |
| Wednesday, May 18, 2016 | 10:00 AM | **Productivity and Costs by Industry: Selected Service-Providing Industries** for Annual 2015 |
| Thursday, May 19, 2016 | 10:00 AM | **Labor Force Characteristics of Foreign-born Workers** for Annual 2015 |
| Friday, May 20, 2016 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for April 2016 |
| Monday, May 30, 2016 |  | **Memorial Day** |

## June, 2016

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, June 01, 2016 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for April 2016 |
| Friday, June 03, 2016 | 08:30 AM | **Employment Situation** for May 2016 |
| Tuesday, June 07, 2016 | 08:30 AM | **Productivity and Costs (R)** for First Quarter 2016 |
| Wednesday, June 08, 2016 | 10:00 AM | **County Employment and Wages** for Fourth Quarter 2015 |
| Wednesday, June 08, 2016 | 10:00 AM | **Job Openings and Labor Turnover Survey** for April 2016 |
| Thursday, June 09, 2016 | 10:00 AM | **Employer Costs for Employee Compensation** for March 2016 |
| Tuesday, June 14, 2016 | 08:30 AM | **U.S. Import and Export Price Indexes** for May 2016 |
| Wednesday, June 15, 2016 | 08:30 AM | **Producer Price Index** for May 2016 |
| Thursday, June 16, 2016 | 08:30 AM | **Consumer Price Index** for May 2016 |
| Thursday, June 16, 2016 | 08:30 AM | **Real Earnings** for May 2016 |
| Friday, June 17, 2016 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for May 2016 |
| Tuesday, June 21, 2016 | 10:00 AM | **Persons with a Disability: Labor Force Characteristics** for Annual 2015 |
| Wednesday, June 22, 2016 | 10:00 AM | **Multifactor Productivity Trends in Manufacturing** for Annual 2014 |
| Friday, June 24, 2016 | 10:00 AM | **American Time Use Survey** for Annual 2015 |
| Wednesday, June 29, 2016 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for May 2016 |

## July, 2016

| Date | Time | Release |
| --- | --- | --- |
| Monday, July 04, 2016 |  | **Independence Day** |
| Friday, July 08, 2016 | 08:30 AM | **Employment Situation** for June 2016 |
| Tuesday, July 12, 2016 | 10:00 AM | **Job Openings and Labor Turnover Survey** for May 2016 |
| Wednesday, July 13, 2016 | 08:30 AM | **U.S. Import and Export Price Indexes** for June 2016 |
| Thursday, July 14, 2016 | 08:30 AM | **Producer Price Index** for June 2016 |
| Friday, July 15, 2016 | 08:30 AM | **Consumer Price Index** for June 2016 |
| Friday, July 15, 2016 | 08:30 AM | **Real Earnings** for June 2016 |
| Tuesday, July 19, 2016 | 10:00 AM | **Usual Weekly Earnings of Wage and Salary Workers** for Second Quarter 2016 |
| Friday, July 22, 2016 | 10:00 AM | **Employee Benefits in the United States** for March 2016 |
| Friday, July 22, 2016 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for June 2016 |
| Wednesday, July 27, 2016 | 10:00 AM | **Quarterly Data Series on Business Employment Dynamics** for Fourth Quarter 2015 |
| Friday, July 29, 2016 | 08:30 AM | **Employment Cost Index** for Second Quarter 2016 |

## August, 2016

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, August 03, 2016 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for June 2016 |
| Friday, August 05, 2016 | 08:30 AM | **Employment Situation** for July 2016 |
| Tuesday, August 09, 2016 | 08:30 AM | **Productivity and Costs (P)** for Second Quarter 2016 |
| Wednesday, August 10, 2016 | 10:00 AM | **Job Openings and Labor Turnover Survey** for June 2016 |
| Wednesday, August 10, 2016 | 10:00 AM | **Productivity and Costs by Industry: Wholesale Trade, Retail Trade, and Food Services and Drinking Places, 2015** for |
| Thursday, August 11, 2016 | 08:30 AM | **U.S. Import and Export Price Indexes** for July 2016 |
| Friday, August 12, 2016 | 08:30 AM | **Producer Price Index** for July 2016 |
| Tuesday, August 16, 2016 | 08:30 AM | **Consumer Price Index** for July 2016 |
| Tuesday, August 16, 2016 | 08:30 AM | **Real Earnings** for July 2016 |
| Wednesday, August 17, 2016 | 10:00 AM | **Summer Youth Labor Force** for 2016 |
| Friday, August 19, 2016 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for July 2016 |
| Thursday, August 25, 2016 | 10:00 AM | **Worker Displacement** for 2013-2015 |
| Tuesday, August 30, 2016 | 10:00 AM | **Consumer Expenditures (Annual)** for 2015 |
| Wednesday, August 31, 2016 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for July 2016 |

## September, 2016

| Date | Time | Release |
| --- | --- | --- |
| Thursday, September 01, 2016 | 08:30 AM | **Productivity and Costs (R)** for Second Quarter 2016 |
| Friday, September 02, 2016 | 08:30 AM | **Employment Situation** for August 2016 |
| Monday, September 05, 2016 |  | **Labor Day** |
| Wednesday, September 07, 2016 | 10:00 AM | **County Employment and Wages** for First Quarter 2016 |
| Wednesday, September 07, 2016 | 10:00 AM | **Job Openings and Labor Turnover Survey** for July 2016 |
| Thursday, September 08, 2016 | 10:00 AM | **Employer Costs for Employee Compensation** for June 2016 |
| Wednesday, September 14, 2016 | 08:30 AM | **U.S. Import and Export Price Indexes** for August 2016 |
| Thursday, September 15, 2016 | 08:30 AM | **Producer Price Index** for August 2016 |
| Friday, September 16, 2016 | 08:30 AM | **Consumer Price Index** for August 2016 |
| Friday, September 16, 2016 | 08:30 AM | **Real Earnings** for August 2016 |
| Tuesday, September 20, 2016 | 10:00 AM | **Multifactor Productivity Trends for Detailed Industries** for Annual 2014 |
| Tuesday, September 20, 2016 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for August 2016 |
| Thursday, September 22, 2016 | 10:00 AM | **Employee Tenure** for Annual 2016 |
| Wednesday, September 28, 2016 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for August 2016 |

## October, 2016

| Date | Time | Release |
| --- | --- | --- |
| Friday, October 07, 2016 | 08:30 AM | **Employment Situation** for September 2016 |
| Monday, October 10, 2016 |  | **Columbus Day** |
| Wednesday, October 12, 2016 | 10:00 AM | **Job Openings and Labor Turnover Survey** for August 2016 |
| Thursday, October 13, 2016 | 08:30 AM | **U.S. Import and Export Price Indexes** for September 2016 |
| Friday, October 14, 2016 | 08:30 AM | **Producer Price Index** for September 2016 |
| Tuesday, October 18, 2016 | 08:30 AM | **Consumer Price Index** for September 2016 |
| Tuesday, October 18, 2016 | 08:30 AM | **Real Earnings** for September 2016 |
| Thursday, October 20, 2016 | 10:00 AM | **Usual Weekly Earnings of Wage and Salary Workers** for Third Quarter 2016 |
| Friday, October 21, 2016 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for September 2016 |
| Thursday, October 27, 2016 | 10:00 AM | **Occupational Injuries and Illnesses (Annual)** for Annual 2015 |
| Friday, October 28, 2016 | 08:30 AM | **Employment Cost Index** for Third Quarter 2016 |

## November, 2016

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, November 02, 2016 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for September 2016 |
| Thursday, November 03, 2016 | 08:30 AM | **Productivity and Costs (P)** for Third Quarter 2016 |
| Friday, November 04, 2016 | 08:30 AM | **Employment Situation** for October 2016 |
| Tuesday, November 08, 2016 | 10:00 AM | **Job Openings and Labor Turnover Survey** for September 2016 |
| Wednesday, November 09, 2016 | 10:00 AM | **Quarterly Data Series on Business Employment Dynamics** for First Quarter 2016 |
| Thursday, November 10, 2016 | 10:00 AM | **Nonfatal Occupational Injuries and Illnesses Requiring Days Away From Work** for Annual 2015 |
| Friday, November 11, 2016 |  | **Veterans Day** |
| Tuesday, November 15, 2016 | 08:30 AM | **U.S. Import and Export Price Indexes** for October 2016 |
| Wednesday, November 16, 2016 | 08:30 AM | **Producer Price Index** for October 2016 |
| Thursday, November 17, 2016 | 08:30 AM | **Consumer Price Index** for October 2016 |
| Thursday, November 17, 2016 | 08:30 AM | **Real Earnings** for October 2016 |
| Friday, November 18, 2016 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for October 2016 |
| Thursday, November 24, 2016 |  | **Thanksgiving Day** |
| Wednesday, November 30, 2016 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for October 2016 |

## December, 2016

| Date | Time | Release |
| --- | --- | --- |
| Thursday, December 01, 2016 | 10:00 AM | **Occupational Requirements in the United States** for Annual 2016 |
| Friday, December 02, 2016 | 08:30 AM | **Employment Situation** for November 2016 |
| Tuesday, December 06, 2016 | 08:30 AM | **Productivity and Costs (R)** for Third Quarter 2016 |
| Wednesday, December 07, 2016 | 10:00 AM | **County Employment and Wages** for Second Quarter 2016 |
| Wednesday, December 07, 2016 | 10:00 AM | **Job Openings and Labor Turnover Survey** for October 2016 |
| Thursday, December 08, 2016 | 10:00 AM | **Employer Costs for Employee Compensation** for September 2016 |
| Friday, December 09, 2016 | 10:00 AM | **Work Experience of the Population (Annual)** for Annual 2015 |
| Tuesday, December 13, 2016 | 08:30 AM | **U.S. Import and Export Price Indexes** for November 2016 |
| Wednesday, December 14, 2016 | 08:30 AM | **Producer Price Index** for November 2016 |
| Thursday, December 15, 2016 | 08:30 AM | **Consumer Price Index** for November 2016 |
| Thursday, December 15, 2016 | 08:30 AM | **Real Earnings** for November 2016 |
| Friday, December 16, 2016 | 10:00 AM | **Census of Fatal Occupational Injuries** for Annual 2015 |
| Friday, December 16, 2016 | 10:00 AM | **Regional and State Employment and Unemployment (Monthly)** for November 2016 |
| Monday, December 26, 2016 |  | **Christmas Day** |
| Thursday, December 29, 2016 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for November 2016 |
