Title: Schedule of Selected Releases 2019

URL Source: https://www.bls.gov/schedule/2019/home.htm

Markdown Content:
## January, 2019

| Date | Time | Release |
| --- | --- | --- |
| Tuesday, January 01, 2019 |  | **New Year's Day** |
| Thursday, January 03, 2019 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for November 2018 |
| Friday, January 04, 2019 | 08:30 AM | **Employment Situation** for December 2018 |
| Tuesday, January 08, 2019 | 10:00 AM | **Job Openings and Labor Turnover Survey** for November 2018 |
| Friday, January 11, 2019 | 08:30 AM | **Consumer Price Index** for December 2018 |
| Friday, January 11, 2019 | 08:30 AM | **Real Earnings** for December 2018 |
| Tuesday, January 15, 2019 | 08:30 AM | **Producer Price Index** for December 2018 |
| Wednesday, January 16, 2019 | 08:30 AM | **U.S. Import and Export Price Indexes** for December 2018 |
| Thursday, January 17, 2019 | 10:00 AM | **Usual Weekly Earnings of Wage and Salary Workers** for Fourth Quarter 2018 |
| Friday, January 18, 2019 | 10:00 AM | **State Employment and Unemployment (Monthly)** for December 2018 |
| Friday, January 18, 2019 | 10:00 AM | **Union Membership (Annual)** for 2018 |
| Monday, January 21, 2019 |  | **Birthday of Martin Luther King, Jr.** |
| Wednesday, January 30, 2019 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for December 2018 |
| Wednesday, January 30, 2019 | 10:00 AM | **Quarterly Data Series on Business Employment Dynamics** for Second Quarter 2018 |
| Thursday, January 31, 2019 | 08:30 AM | **Employment Cost Index** for Fourth Quarter 2018 |

**NOTE: All times on calendar are Eastern Time.**

**Last Modified Date:**November 30, 2018

## February, 2019

| Date | Time | Release |
| --- | --- | --- |
| Friday, February 01, 2019 | 08:30 AM | **Employment Situation** for January 2019 |
| Wednesday, February 06, 2019 | 08:30 AM | **Productivity and Costs (P)** for Fourth Quarter 2018 |
| Friday, February 08, 2019 | 10:00 AM | **Major Work Stoppages (Annual)** for Annual 2018 |
| Tuesday, February 12, 2019 | 10:00 AM | **Job Openings and Labor Turnover Survey** for December 2018 |
| Wednesday, February 13, 2019 | 08:30 AM | **Consumer Price Index** for January 2019 |
| Wednesday, February 13, 2019 | 08:30 AM | **Real Earnings** for January 2019 |
| Thursday, February 14, 2019 | 08:30 AM | **Producer Price Index** for January 2019 |
| Friday, February 15, 2019 | 08:30 AM | **U.S. Import and Export Price Indexes** for January 2019 |
| Monday, February 18, 2019 |  | **Washington's Birthday** |
| Wednesday, February 20, 2019 | 10:00 AM | **County Employment and Wages** for Third Quarter 2018 |
| Thursday, February 21, 2019 | 10:00 AM | **Occupational Requirements in the United States** for Annual 2018 |
| Tuesday, February 26, 2019 | 10:00 AM | **Persons with a Disability: Labor Force Characteristics** for Annual 2018 |
| Thursday, February 28, 2019 | 10:00 AM | **State Unemployment (Annual)** for 2018 |

**NOTE: All times on calendar are Eastern Time.**

**Last Modified Date:**January 22, 2019

## March, 2019

| Date | Time | Release |
| --- | --- | --- |
| Thursday, March 07, 2019 | 08:30 AM | **Productivity and Costs (R)** for Fourth Quarter 2018 |
| Friday, March 08, 2019 | 08:30 AM | **Employment Situation** for February 2019 |
| Monday, March 11, 2019 | 10:00 AM | **State Employment and Unemployment (Monthly)** for January 2019 |
| Tuesday, March 12, 2019 | 08:30 AM | **Consumer Price Index** for February 2019 |
| Tuesday, March 12, 2019 | 08:30 AM | **Real Earnings** for February 2019 |
| Wednesday, March 13, 2019 | 08:30 AM | **Producer Price Index** for February 2019 |
| Thursday, March 14, 2019 | 08:30 AM | **U.S. Import and Export Price Indexes** for February 2019 |
| Friday, March 15, 2019 | 10:00 AM | **Job Openings and Labor Turnover Survey** for January 2019 |
| Friday, March 15, 2019 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for January 2019 |
| Tuesday, March 19, 2019 | 10:00 AM | **Employer Costs for Employee Compensation** for December 2018 |
| Wednesday, March 20, 2019 | 10:00 AM | **Multifactor Productivity Trends** for Annual 2018 |
| Thursday, March 21, 2019 | 10:00 AM | **Employment Situation of Veterans** for Annual 2018 |
| Friday, March 22, 2019 | 10:00 AM | **State Employment and Unemployment (Monthly)** for February 2019 |
| Friday, March 29, 2019 | 10:00 AM | **Occupational Employment and Wages** for May 2018 |

**NOTE: All times on calendar are Eastern Time.**

**Last Modified Date:**March 05, 2019

## April, 2019

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, April 03, 2019 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for February 2019 |
| Friday, April 05, 2019 | 08:30 AM | **Employment Situation** for March 2019 |
| Tuesday, April 09, 2019 | 10:00 AM | **Job Openings and Labor Turnover Survey** for February 2019 |
| Wednesday, April 10, 2019 | 08:30 AM | **Consumer Price Index** for March 2019 |
| Wednesday, April 10, 2019 | 08:30 AM | **Real Earnings** for March 2019 |
| Thursday, April 11, 2019 | 08:30 AM | **Producer Price Index** for March 2019 |
| Friday, April 12, 2019 | 08:30 AM | **U.S. Import and Export Price Indexes** for March 2019 |
