Title: Schedule of Selected Releases 2020

URL Source: https://www.bls.gov/schedule/2020/home.htm

Markdown Content:
## January, 2020

[Month View](https://www.bls.gov/schedule/2020/01_sched.htm) | List View

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, January 01, 2020 |  | **New Year's Day** |
| Friday, January 03, 2020 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for November 2019 |
| Friday, January 10, 2020 | 08:30 AM | **Employment Situation** for December 2019 |
| Tuesday, January 14, 2020 | 08:30 AM | **Consumer Price Index** for December 2019 |
| Tuesday, January 14, 2020 | 08:30 AM | **Real Earnings** for December 2019 |
| Wednesday, January 15, 2020 | 08:30 AM | **Producer Price Index** for December 2019 |
| Thursday, January 16, 2020 | 08:30 AM | **U.S. Import and Export Price Indexes** for December 2019 |
| Friday, January 17, 2020 | 10:00 AM | **Job Openings and Labor Turnover Survey** for November 2019 |
| Friday, January 17, 2020 | 10:00 AM | **Usual Weekly Earnings of Wage and Salary Workers** for Fourth Quarter 2019 |
| Monday, January 20, 2020 |  | **Birthday of Martin Luther King, Jr.** |
| Wednesday, January 22, 2020 | 10:00 AM | **Union Membership (Annual)** for 2019 |
| Friday, January 24, 2020 | 10:00 AM | **State Employment and Unemployment (Monthly)** for December 2019 |
| Tuesday, January 28, 2020 | 10:00 AM | **Multifactor Productivity Trends in Manufacturing** for Annual 2018 |
| Wednesday, January 29, 2020 | 10:00 AM | **Quarterly Data Series on Business Employment Dynamics** for Second Quarter 2019 |
| Friday, January 31, 2020 | 08:30 AM | **Employment Cost Index** for Fourth Quarter 2019 |

**NOTE: All times on calendar are Eastern Time.**

**Last Modified Date:**January 22, 2020

## February, 2020

[Month View](https://www.bls.gov/schedule/2020/02_sched.htm) | List View

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, February 05, 2020 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for December 2019 |
| Thursday, February 06, 2020 | 08:30 AM | **Productivity and Costs (P)** for Fourth Quarter 2019 |
| Friday, February 07, 2020 | 08:30 AM | **Employment Situation** for January 2020 |
| Tuesday, February 11, 2020 | 10:00 AM | **Job Openings and Labor Turnover Survey** for December 2019 |
| Tuesday, February 11, 2020 | 10:00 AM | **Major Work Stoppages (Annual)** for 2019 |
| Thursday, February 13, 2020 | 08:30 AM | **Consumer Price Index** for January 2020 |
| Thursday, February 13, 2020 | 08:30 AM | **Real Earnings** for January 2020 |
| Friday, February 14, 2020 | 08:30 AM | **U.S. Import and Export Price Indexes** for January 2020 |
| Monday, February 17, 2020 |  | **Washington's Birthday** |
| Wednesday, February 19, 2020 | 08:30 AM | **Producer Price Index** for January 2020 |
| Thursday, February 20, 2020 | 10:00 AM | **County Employment and Wages** for Third Quarter 2019 |
| Wednesday, February 26, 2020 | 10:00 AM | **Persons with a Disability: Labor Force Characteristics** for Annual 2019 |

**NOTE: All times on calendar are Eastern Time.**

**Last Modified Date:**November 05, 2019

## March, 2020

[Month View](https://www.bls.gov/schedule/2020/03_sched.htm) | List View

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, March 04, 2020 | 10:00 AM | **State Unemployment (Annual)** for Annual 2019 |
| Thursday, March 05, 2020 | 08:30 AM | **Productivity and Costs (R)** for Fourth Quarter 2019 |
| Friday, March 06, 2020 | 08:30 AM | **Employment Situation** for February 2020 |
| Wednesday, March 11, 2020 | 08:30 AM | **Consumer Price Index** for February 2020 |
| Wednesday, March 11, 2020 | 08:30 AM | **Real Earnings** for February 2020 |
| Thursday, March 12, 2020 | 08:30 AM | **Producer Price Index** for February 2020 |
| Friday, March 13, 2020 | 08:30 AM | **U.S. Import and Export Price Indexes** for February 2020 |
| Monday, March 16, 2020 | 10:00 AM | **State Employment and Unemployment (Monthly)** for January 2020 |
| Tuesday, March 17, 2020 | 10:00 AM | **Job Openings and Labor Turnover Survey** for January 2020 |
| Thursday, March 19, 2020 | 10:00 AM | **Employer Costs for Employee Compensation** for December 2019 |
| Thursday, March 19, 2020 | 10:00 AM | **Employment Situation of Veterans** for Annual 2019 |
| Friday, March 20, 2020 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for January 2020 |
| Tuesday, March 24, 2020 | 10:00 AM | **Multifactor Productivity Trends** for Annual 2019 |
| Friday, March 27, 2020 | 10:00 AM | **State Employment and Unemployment (Monthly)** for February 2020 |
| Tuesday, March 31, 2020 | 10:00 AM | **Occupational Employment and Wages** for May 2019 |

**NOTE: All times on calendar are Eastern Time.**

**Last Modified Date:**March 13, 2020

## April, 2020

[Month View](https://www.bls.gov/schedule/2020/04_sched.htm) | List View

| Date | Time | Release |
| --- | --- | --- |
| Friday, April 03, 2020 | 08:30 AM | **Employment Situation** for March 2020 |
| Tuesday, April 07, 2020 | 10:00 AM | **Job Openings and Labor Turnover Survey** for February 2020 |
| Wednesday, April 08, 2020 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for February 2020 |
| Thursday, April 09, 2020 | 08:30 AM | **Producer Price Index** for March 2020 |
| Friday, April 10, 2020 | 08:30 AM | **Consumer Price Index** for March 2020 |
| Friday, April 10, 2020 | 08:30 AM | **Real Earnings** for March 2020 |
| Tuesday, April 14, 2020 | 08:30 AM | **U.S. Import and Export Price Indexes** for March 2020 |
| Wednesday, April 15, 2020 | 10:00 AM | **Usual Weekly Earnings of Wage and Salary Workers** for First Quarter 2020 |
| Friday, April 17, 2020 | 10:00 AM | **State Employment and Unemployment (Monthly)** for March 2020 |
| Tuesday, April 21, 2020 | 10:00 AM | **Employment Characteristics of Families** for Annual 2019 |
| Tuesday, April 28, 2020 | 10:00 AM | **College Enrollment and Work Activity of High School Graduates** for Annual 2019 |
| Tuesday, April 28, 2020 | 10:00 AM | **Consumer Expenditures Survey Midyear Update** for Midyear 2018-2019 |
| Wednesday, April 29, 2020 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for March 2020 |
| Wednesday, April 29, 2020 | 10:00 AM | **Quarterly Data Series on Business Employment Dynamics** for Third Quarter 2019 |
| Thursday, April 30, 2020 | 08:30 AM | **Employment Cost Index** for First Quarter 2020 |

**NOTE: All times on calendar are Eastern Time.**

**Last Modified Date:**April 23, 2020

## May, 2020

[Month View](https://www.bls.gov/schedule/2020/05_sched.htm) | List View

| Date | Time | Release |
| --- | --- | --- |
| Friday, May 01, 2020 | 10:00 AM | **Persons with a Disability: Barriers to Employment and Other Labor-Related Issues** for July 2019 |
| Tuesday, May 05, 2020 | 10:00 AM | **Employment Experience of Youths: Results from a Longitudinal Survey** for Biennial |
| Thursday, May 07, 2020 | 08:30 AM | **Productivity and Costs (P)** for First Quarter 2020 |
| Friday, May 08, 2020 | 08:30 AM | **Employment Situation** for April 2020 |
| Tuesday, May 12, 2020 | 08:30 AM | **Consumer Price Index** for April 2020 |
| Tuesday, May 12, 2020 | 08:30 AM | **Real Earnings** for April 2020 |
| Wednesday, May 13, 2020 | 08:30 AM | **Producer Price Index** for April 2020 |
| Thursday, May 14, 2020 | 08:30 AM | **U.S. Import and Export Price Indexes** for April 2020 |
| Friday, May 15, 2020 | 10:00 AM | **Job Openings and Labor Turnover Survey** for March 2020 |
| Friday, May 15, 2020 | 10:00 AM | **Labor Force Characteristics of Foreign-born Workers** for Annual 2019 |
| Wednesday, May 20, 2020 | 10:00 AM | **County Employment and Wages** for Fourth Quarter 2019 |
| Friday, May 22, 2020 | 10:00 AM | **State Employment and Unemployment (Monthly)** for April 2020 |
| Monday, May 25, 2020 |  | **Memorial Day** |
| Thursday, May 28, 2020 | 10:00 AM | **Occupational Requirements in the United States** for Annual 2019 |
| Thursday, May 28, 2020 | 10:00 AM | **Productivity and Costs by Industry: Selected Service-Providing Industries** for Annual 2019 |

**NOTE: All times on calendar are Eastern Time.**

**Last Modified Date:**May 07, 2020

## June, 2020

[Month View](https://www.bls.gov/schedule/2020/06_sched.htm) | List View

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, June 03, 2020 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for April 2020 |
| Thursday, June 04, 2020 | 08:30 AM | **Productivity and Costs (R)** for First Quarter 2020 |
| Friday, June 05, 2020 | 08:30 AM | **Employment Situation** for May 2020 |
| Tuesday, June 09, 2020 | 10:00 AM | **Job Openings and Labor Turnover Survey** for April 2020 |
| Wednesday, June 10, 2020 | 08:30 AM | **Consumer Price Index** for May 2020 |
| Wednesday, June 10, 2020 | 08:30 AM | **Real Earnings** for May 2020 |
| Thursday, June 11, 2020 | 08:30 AM | **Producer Price Index** for May 2020 |
| Friday, June 12, 2020 | 08:30 AM | **U.S. Import and Export Price Indexes** for May 2020 |
| Thursday, June 18, 2020 | 10:00 AM | **Employer Costs for Employee Compensation** for March 2020 |
| Friday, June 19, 2020 | 10:00 AM | **State Employment and Unemployment (Monthly)** for May 2020 |
| Thursday, June 25, 2020 | 10:00 AM | **American Time Use Survey** for Annual 2019 |
| Thursday, June 25, 2020 | 10:00 AM | **Productivity and Costs by Industry: Manufacturing and Mining Industries** for Annual 2019 |

**NOTE: All times on calendar are Eastern Time.**

**Last Modified Date:**June 09, 2020

## July, 2020

[Month View](https://www.bls.gov/schedule/2020/07_sched.htm) | List View

| Date | Time | Release |
| --- | --- | --- |
| Wednesday, July 01, 2020 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for May 2020 |
| Thursday, July 02, 2020 | 08:30 AM | **Employment Situation** for June 2020 |
| Friday, July 03, 2020 |  | **Independence Day** |
| Tuesday, July 07, 2020 | 10:00 AM | **Job Openings and Labor Turnover Survey** for May 2020 |
| Friday, July 10, 2020 | 08:30 AM | **Producer Price Index** for June 2020 |
| Tuesday, July 14, 2020 | 08:30 AM | **Consumer Price Index** for June 2020 |
| Tuesday, July 14, 2020 | 08:30 AM | **Real Earnings** for June 2020 |
| Wednesday, July 15, 2020 | 08:30 AM | **U.S. Import and Export Price Indexes** for June 2020 |
| Friday, July 17, 2020 | 10:00 AM | **State Employment and Unemployment (Monthly)** for June 2020 |
| Friday, July 17, 2020 | 10:00 AM | **Usual Weekly Earnings of Wage and Salary Workers** for Second Quarter 2020 |
| Wednesday, July 29, 2020 | 10:00 AM | **Metropolitan Area Employment and Unemployment (Monthly)** for June 2020 |
| Wednesday, July 29, 2020 | 10:00 AM | **Quarterly Data Series on Business Employment Dynamics** for Fourth Quarter 2019 |
| Thursday, July 30, 2020 | 10:00 AM | **Productivity and Costs by Industry: Wholesale Trade, Retail Trade, and Food Services and Drinking Places** for Annual 2019 |
| Friday, July 31, 2020 | 08:30 AM | **Employment Cost Index** for Second Quarter 2020 |

**NOTE: All times on calendar are Eastern Time.**

**Last Modified Date:**July 02, 2020

## August, 2020

