accession,cik,form,filing_date,acceptance_datetime,company,description,items,document_url,classification
0001213900-25-000379,0001355839,8-K,2025-01-02,,"PALTALK, INC.  (PALT)  (CIK 0001355839)",CERTIFICATE OF DESIGNATIONS OF SERIES A NON-VOTING COMMON EQUIVALENT STOCK OF INTELLIGENT PROTECTION MANAGEMENT CORP,1.01;2.01;3.02;3.03;5.02;5.03;5.05;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1355839/000121390025000379/ea0226465-8k_intelli.htm,UNRELATED OR NOT CONFIRMED
0001493152-25-000294,0001752828,8-K,2025-01-03,,"Celularity Inc  (CELU, CELUW)  (CIK 0001752828)",,1.01;3.02;9.01,https://www.sec.gov/Archives/edgar/data/1752828/000149315225000294/ex10-1.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001104659-25-000865,0001823144,8-K,2025-01-03,,"CompoSecure, Inc.  (CMPO, CMPOW)  (CIK 0001823144)",FORM 8-K,1.01;9.01,https://www.sec.gov/Archives/edgar/data/1823144/000110465925000865/R1.htm,UNRELATED OR NOT CONFIRMED
0000950170-25-001280,0001856236,8-K,2025-01-03,,"European Wax Center, Inc.  (EWCZ)  (CIK 0001856236)",EX-10.1,3.02;9.01,https://www.sec.gov/Archives/edgar/data/1856236/000095017025001280/ewcz-20241227.htm,UNRELATED OR NOT CONFIRMED
0001558370-25-000020,0001745032,8-K,2025-01-03,,"Lodging Fund REIT III, Inc.  (CIK 0001745032)",8-K,1.01;2.04;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1745032/000155837025000020/lfr-20241224x8k.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001493152-25-000299,0000788611,8-K,2025-01-03,,"NextTrip, Inc.  (NTRP)  (CIK 0000788611)",,1.01;3.02;5.03;9.01,https://www.sec.gov/Archives/edgar/data/788611/000149315225000299/ex10-1.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001628280-25-000261,0001704292,8-K,2025-01-03,,Zai Lab Ltd  (ZLAB)  (CIK 0001704292),EX-10.2,1.01;2.03;9.01,https://www.sec.gov/Archives/edgar/data/1704292/000162828025000261/ex101-bocomguaranteecontra.htm,UNRELATED OR NOT CONFIRMED
0001140361-25-000296,0001411690,8-K,2025-01-06,,"Bionano Genomics, Inc.  (BNGO)  (CIK 0001411690)",EXHIBIT 4.2,1.01;7.01;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1411690/000114036125000296/ny20041129x2_8k.htm,UNRELATED OR NOT CONFIRMED
0001104659-25-001087,0001130166,8-K,2025-01-06,,"Cyclacel Pharmaceuticals, Inc.  (CYCC, CYCCP)  (CIK 0001130166)",EXHIBIT 3.1,1.01;3.02;3.03;5.02;5.03;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1130166/000110465925001087/R1.htm,UNRELATED OR NOT CONFIRMED
0001193125-25-003535,0001217234,8-K,2025-01-08,,"CareDx, Inc.  (CDNA)  (CIK 0001217234)",EX-10.1,5.02;9.01,https://www.sec.gov/Archives/edgar/data/1217234/000119312525003535/d829322d8k.htm,UNRELATED OR NOT CONFIRMED
0001104659-25-002026,0001438423,8-K,2025-01-08,,EVERSPIN TECHNOLOGIES INC  (MRAM)  (CIK 0001438423),FORM 8-K,5.02;9.01,https://www.sec.gov/Archives/edgar/data/1438423/000110465925002026/R1.htm,UNRELATED OR NOT CONFIRMED
0001178913-25-000072,0001607962,8-K/A,2025-01-08,,Lifeward Ltd.  (LFWD)  (CIK 0001607962),EXHIBIT 4.1,9.01,https://www.sec.gov/Archives/edgar/data/1607962/000117891325000072/exhibit_4-1.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
0001178913-25-000065,0001607962,8-K,2025-01-08,,Lifeward Ltd.  (LFWD)  (CIK 0001607962),EXHIBIT 4.2,1.01;3.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1607962/000117891325000065/exhibit_10-1.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001437749-25-000801,0001719406,8-K,2025-01-10,,"NRX Pharmaceuticals, Inc.  (NRXP, NRXPW)  (CIK 0001719406)",EXHIBIT 99.1,1.01;3.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1719406/000143774925000801/ex_764005.htm,UNRELATED OR NOT CONFIRMED
0001628280-25-001137,0001819994,8-K,2025-01-10,,"Rocket Lab USA, Inc.  (RKLB)  (CIK 0001819994)",EX-3.1,3.03;5.03;9.01,https://www.sec.gov/Archives/edgar/data/1819994/000162828025001137/R1.htm,UNRELATED OR NOT CONFIRMED
0001718939-25-000014,0001718939,8-K,2025-01-10,,T Stamp Inc  (IDAI)  (CIK 0001718939),EX-4.1,1.01;3.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1718939/000171893925000014/a101securitiespurchaseagre.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001493152-25-001566,0002011954,10-12B/A,2025-01-10,,Twin Hospitality Group Inc.  (TWNP)  (CIK 0002011954),,,https://www.sec.gov/Archives/edgar/data/2011954/000149315225001566/ex10-3.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001104659-25-003095,0001705110,8-K,2025-01-13,,Angi Inc.  (ANGI)  (CIK 0001705110),FORM 8-K,3.02;5.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1705110/000110465925003095/R1.htm,UNRELATED OR NOT CONFIRMED
0001437749-25-000902,0001120970,8-K,2025-01-13,,Comstock Inc.  (LODE)  (CIK 0001120970),EXHIBIT 10.2,1.01;2.03;9.01,https://www.sec.gov/Archives/edgar/data/1120970/000143774925000902/ex_764363.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
