company,cik,form,filing_date,document_url,snippet,review_status
Lifeward Ltd.  (LFWD)  (CIK 0001607962),0001607962,8-K/A,2025-01-08,https://www.sec.gov/Archives/edgar/data/1607962/000117891325000072/exhibit_4-1.htm,"160;&#160;&#160;&#160;&#160;&#160;&#160; Share Dividends and Splits . If the Company, at any time while this Warrant is outstanding: (i) pays a share dividend or otherwise makes a distribution or distributions on its Ordinary Shares or any other equity or equity equivalent securities payable in Ordinary Shares (which, for avoidance of doubt, shall not include any Ordinary Shares issued by the Company upon exe || such that the aggregate Exercise Price of this Warrant shall remain unchanged.&#160; Any adjustment made pursuant to this Section 3(a) shall become effective immediately after the record date for the determination of shareholders entitled to receive such dividend or distribution and shall become effective immediately after the effective date in the case of a subdivision, combination or re&#8209;classificatio ||  as its right thereto would not result in the Holder exceeding the Beneficial Ownership Limitation). &#160; c)&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160; Pro Rata Distributions .&#160; During such time as this Warrant is outstanding, if the Company shall declare or make any dividend or other distribution of its assets (or rights to acquire its assets) to holders of Ordinary Shares, by way of  || return of capital or otherwise (including, without limitation, any distribution of cash, shares or other securities, property or options by way of a dividend, spin off, reclassification, corporate rearrangement, scheme of arrangement or other similar transaction) (a &#8220; Distribution &#8221;), at any time after the issuance of this Warrant, then, in each such case, the Holder shall ||  be entitled to participate in such Distribution to the same extent that the Holder would have participated therein if the Holder had held the number of Ordinary Shares acquirable upon complete exercise of this Warrant (without regard to any limitations on exercise he || reof, including without limitation, the Beneficial Ownership Limitation) immediately before the date of which a record is taken for such Distribution, or, if no such record is taken, the date as of which the record holders of Ordinary Shares are to be determined for the participation in such Distribution ( provided , however , that to the extent that the Holder's rig || ht to participate in any such Distribution would result in the Holder exceeding the Beneficial Ownership Limitation, then the Holder shall not be entitled to participate in such Distribution to such extent (or in the beneficial ownership of any Ordinary Shares as a result of such Distribution to such extent) and the portion of such Distribution shall be held in abeyance for the benefit of the Holder until s || ectly, in one or more related transactions consummates a share purchase agreement or other business combination (including, without limitation, a reorganization, recapitalization, spin-off, merger or scheme of arrangement) with another Person or group of Persons whereby such other Person or group acquires 50% or more of the outstanding Ordinary Shares or 50% or more of the voting power of the common equit",PRIMARY REVIEW REQUIRED
"Fat Brands, Inc  (FAT, FATBB, FATBP, FATBW)  (CIK 0001705012)",0001705012,8-K,2025-01-17,https://www.sec.gov/Archives/edgar/data/1705012/000149315225002733/ex99-1.htm," EX-99.1 2 ex99-1.htm &nbsp; Exhibit 99.1 &nbsp; &nbsp; FAT Brands Announces Record and Distribution Dates for Special Stock Dividend in connection with Twin Hospitality Spin-Off &nbsp; Twin Hospitality to Commence Trading as Standalone Public Company &nbsp; LOS ANGELES (January 16, 2025) &ndash; FAT (Fresh. Authentic. Tasty.) Brands Inc. (NASDAQ: FAT), a leading global franchising company and p || arent company of 18 iconic brands, is pleased to announce that its Board of Directors has approved the distribution of a special stock dividend to FAT Brands&rsquo; common stockholders of shares of Class A Common Stock (&ldquo; Twin Common Stock &rdquo;) of Twin Hospitality Group Inc. (&ldquo; Twin Hospitality &rdquo;), the operating || the fully diluted shares of Class A Common Stock of Twin Hospitality, and the remaining shares of Twin Hospitality will continue to be held by FAT Brands immediately following the distribution. &nbsp; The distribution of shares of Twin Common Stock will be made on a pro rata basis to all holders of FAT Brands&rsquo; Class A Common Stock and Class B Common Stock as of the close of trading on January 27, 2025 ( || the &ldquo; record date &rdquo;). The distribution will take the form of a special dividend of 0.1520207 share of Twin Common Stock distributed with respect to each one share of FAT Brands Class A Common Stock and Class B Common Stock outstanding as of the record date.  || The shares of Twin Common Stock are expected to be delivered after the close of trading on January 29, 2025 (the &ldquo;distribution date &rdquo;), subject to the satisfaction or waiver of certain conditions, and commence trading on the Nasdaq Global Market under the symbol &ldquo;TWNP&rdquo; on the next trading day. &nbsp; No fractional shares of Tw || ho would otherwise be entitled to receive a fractional share of Twin Common Stock. &nbsp; Holders of FAT Brands&rsquo; outstanding Warrants (NASDAQ: FATBW) who wish to receive the distribution of Twin Common Stock are reminded to exercise their Warrants for Class A Common Stock in advance of the record date. Warrants that are not exercised prior to the record date will not receive the distribution of Twin Com || ave their exercise price adjusted downward under the warrant agency agreement. The current exercise price of the Warrants is $2.2142, which will be adjusted downward following the record date by an amount equal to the fair market value of the distributed shares of Twin Common Stock divided by the sum of all shares of Class A Common Stock outstanding on the record date plus the number of unexercised Warrants  || on the record date, but not below zero. &nbsp; No vote or action is required by the FAT Brands common stockholders to receive the special stock dividend of Twin Common Stock, which will be issued in book-entry form. The FAT Brands common ",PRIMARY REVIEW REQUIRED
Twin Hospitality Group Inc.  (TWNP)  (CIK 0002011954),0002011954,8-K,2025-01-17,https://www.sec.gov/Archives/edgar/data/2011954/000149315225002824/ex99-1.htm,"e refer to as &ldquo;FAT Brands Class B Common Stock&rdquo;), as the case may be, of FAT Brands Inc. (which we refer to as &ldquo;FAT Brands&rdquo;) in connection with the planned distribution (which we refer to as the &ldquo;Spin-Off&rdquo;) by FAT Brands to the FAT Brands Common Stockholders of approximately 5% of the fully-diluted shares of Class A Common Stock, par value $0.0001 per share (which we refer  || r &ldquo;Class A Common Stock&rdquo;) of Twin Hospitality Group Inc. (which we refer to as our &ldquo;Company&rdquo;), which shares are held by FAT Brands immediately prior to the Spin-Off. As of immediately prior to the time of the Spin-Off, FAT Brands will hold 47,298,271 shares of our Class A Common Stock, which is 100% of the outstanding shares of our Class A Common Stock. &nbsp; At the time of the Sp || hare of FAT Brands Class A Common Stock and each one share of FAT Brands Class B Common Stock, as the case may be, outstanding as of the close of business on January 27, 2025, the record date for the Spin-Off (which we refer to as the &ldquo;Record Date&rdquo;), will entitle the holder thereof to receive 0.1520207 share of our Class A Common Stock. The distribution of shares of our Class A Common Stock pursu || ant to the Spin-Off will be made in book-entry form by a distribution agent (which we refer to as the &ldquo;Distribution Agent&rdquo;). Fractional shares of our Class A Common Stock will not be distributed in the Spin-Off. &nbsp; The Spin-Off will be effective as of 4:30 p.m., New York City time, on January 29, 2025. &nbsp; The FAT Brands ||  Common Stockholders are not required to vote on or take any other action in connection with the Spin-Off. We are not asking you for a proxy, and we request that you do not send us a proxy. The FAT Brands Common Stockholders will not be required to pay any consideration for the shares of our Class A Common Stock that they r || eceive in the Spin-Off, and they will not be required to surrender or exchange their shares of FAT Brands Class A Common Stock or FAT Brands Class B Common Stock, as the case may be, or take any other action in connection with the Spin-Off. & || nbsp; Prior to the Spin Off, there has been no public market for our Class A Common Stock. Our Class A Common Stock has been approved for listing on the Nasdaq Global Market under the symbol &ldquo;TWNP&rdquo;. &nbsp; &nbsp; &nbsp; &nbsp; Immediat || ely following the Spin-Off, we will be an independent publicly traded reporting company. We will also be deemed to be an &ldquo;emerging growth company&rdquo; and a &ldquo;smaller reporting company&rdquo; under applicable U.S. federal securities ",PRIMARY REVIEW REQUIRED
"LENNAR CORP /NEW/  (LEN, LEN-B)  (CIK 0000920760)",0000920760,8-K,2025-01-21,https://www.sec.gov/Archives/edgar/data/920760/000119312525009205/d913968d8k.htm,"he Exchange Act&#8194; &#9744; &#160; &#160; &#160; Item&#8201;8.01. Other Events On January&#160;21, 2025, Lennar Corporation issued a press release reminding stockholders of the record date and commencement of the election period in connection with the previously announced taxable spin-off of Millrose Properties, Inc. A copy of the press release is filed as Exhibit 99.1 to this Current Report on Form 8-K a",PRIMARY REVIEW REQUIRED
"NRX Pharmaceuticals, Inc.  (NRXP, NRXPW)  (CIK 0001719406)",0001719406,8-K,2025-01-29,https://www.sec.gov/Archives/edgar/data/1719406/000143774925002160/ex_771257.htm,"ents . &nbsp; a)&nbsp;&nbsp;&nbsp;&nbsp; Stock Dividends and Splits . If the Company, at any time while this Warrant is outstanding: (i) pays a stock dividend or otherwise makes a distribution or distributions on shares of its Common Stock or any other equity or equity equivalent securities payable in shares of Common Stock (which, for avoidance of doubt, shall not include any shares of Common Stock issued by || usted such that the aggregate Exercise Price of this Warrant shall remain unchanged. Any adjustment made pursuant to this Section 3(a) shall become effective immediately after the record date for the determination of stockholders entitled to receive such dividend or distribution and shall become effective immediately after the effective date in the case of a subdivision, combination or re-classification. &nb || the Holder until such time, if ever, as its right thereto would not result in the Holder exceeding the Beneficial Ownership Limitation). &nbsp; d)&nbsp;&nbsp;&nbsp;&nbsp; Pro Rata Distributions . During such time as this Warrant is outstanding, if the Company shall declare or make any dividend or other distribution of its assets (or rights to acquire its assets) to holders of shares of Common Stock, by way of ||  return of capital or otherwise (including, without limitation, any distribution of cash, stock or other securities, property or options by way of a dividend, spin off, reclassification, corporate rearrangement, scheme of arrangement or other similar transaction) (except to the extent an adjustment was already made pursuant to Section 3(a)) (a &#8220;Distribution&#8221;), at any time  || after the issuance of this Warrant, then, in each such case, the Holder shall be entitled to participate in such Distribution to the same extent that the Holder would have participated therein if the Holder had held the number of shares of Common Stock acquirable upon complete exercise of this Warrant (without regard to any limitations on exer || cise hereof, including without limitation, the Beneficial Ownership Limitation) immediately before the date of which a record is taken for such Distribution, or, if no such record is taken, the date as of which the record holders of shares of Common Stock are to be determined for the participation in such Distribution ( provided ,&nbsp; however , that, to the extent that th || e Holder's right to participate in any such Distribution would result in the Holder exceeding the Beneficial Ownership Limitation, then the Holder shall not be entitled to participate in such Distribution to such extent (or in the beneficial ownership of any shares of Common  || Stock as a result of such Distribution to such extent) and the portion of such Distribution shall be held in abeyance for the benefit of the Holder until such time, if ever, as its right thereto would not result in the Holder exceeding the Beneficial Ownership Limitation). To the extent that this Warrant has n",PRIMARY REVIEW REQUIRED
"Fat Brands, Inc  (FAT, FATAV, FATBB, FATBP, FATBV, FATBW)  (CIK 0001705012)",0001705012,8-K,2025-01-30,https://www.sec.gov/Archives/edgar/data/1705012/000149315225004252/form8-k.htm,"; &#160; &#160; Item 1.01. Entry into a Material Definitive Agreement. &#160; On January 29, 2025, FAT Brands Inc. (the &#8220; Company &#8221;) completed the previously announced distribution (&#8220; Spin-Off &#8221;) of approximately 5.0% of the fully-diluted shares of Class A Common Stock, par value $0.0001 per share (&#8220; Twin Common Stock &#8221;), of its subsidiary, Twin Hospitality Group Inc., a De || laware corporation (&#8220; Twin Hospitality &#8221;), as a pro rata dividend (the &#8220; Distribution &#8221;) to holders of Class A common stock and Class B common stock of the Company (the &#8220; FAT Brands Common Stockholders &#8221;) of record as of January 27, 2025 (the &#8220; Record Date &#8221;). Pursuant to th || e Distribution, the FAT Brands Common Stockholders received 0.1520207 shares of Twin Common Stock for each share of Class A common stock or Class B common stock of the Company held as of the close of business on the Record Date. Follo || wing the completion of the Spin-Off, Twin Hospitality became an independent, publicly traded company, and the Twin Common Stock began trading on the Nasdaq Global Market under the ticker symbol &#8220;TWNP&#8221;. &#160; In connection with the Spin-Off, o || n January 24, 2025, the Company entered into a Master Separation and Distribution Agreement (the &#8220; Master Separation Agreement &#8221;) and Tax Matters Agreement (the &#8220; Tax Matters Agreement &#8221;) with Twin Hospitality, which provide a framework for Twin Hospitality&#8217;s on-going re || lationship with FAT Brands following the Spin-Off. &#160; Master Separation Agreement &#160; Pursuant to the Master Separation Agreement, on January 24, 2025, the Company exchanged its initial founder&#8217;s shares in Twin Hospitality (representing 100% of the issued  || n Hospitality) for 47,298,271 shares of Twin Hospitality&#8217;s Class A Common Stock and 2,870,000 shares of Twin Hospitality&#8217;s Class B Common Stock. In connection with the Spin-Off, on January 29, 2025, FAT Brands distributed 2,659,412 of its shares of Twin Hospitality Class A Common Stock to the FAT Brands Common Stockholders in the Distribution. &#160; Under the Master Separation Agreement, Twin ||  Hospitality also agreed to provide to the Company, beginning 180 days after the Spin-Off, certain registration rights to register the shares of Twin Hospitality Class A Common Stock and Class B Common Stock that were retained by the Company. At the request of the Company, Twin Hospitality agreed to use its ",PRIMARY REVIEW REQUIRED
"Twin Hospitality Group Inc.  (TWNP, TWNPV)  (CIK 0002011954)",0002011954,8-K,2025-01-30,https://www.sec.gov/Archives/edgar/data/2011954/000149315225004240/ex10-1.htm,"ies After the Separation Date 10 2.2 Allocation Conventions 10 2.3 Transfer Taxes 11 2.4 Twin Hospitality Separate Tax Assets; Tax Refunds 11 2.5 Tax Benefits 12 2.6 Allocation of Distribution Taxes 12 2.7 Prior Agreements 13 Article 3 Preparation and Filing of Tax Returns 13 3.1 Parent Responsibility 13 3.2 Twin Hospitality Responsibility 13 3.3 Right to Review Tax Returns 13 3.4 Cooperation 14 3.5 Twin Hosp || porting of the Transactions 14 3.7 Section 336(e) Election 15 3.8 Payment of Taxes 15 3.9 Amended Returns and Carrybacks 16 3.10 Tax Attributes 16 Article 4 Tax-Free Status of the Distribution 16 4.1 Certain Covenants Related to the Tax-Free Status of the Distribution 16 4.2 Certain Restrictions Relating to the Tax-Free Status of the Distribution 16 4.3 Procedures Regarding Post-Distribution Rulings and Unqua || h Parent, the &ldquo; Parties &rdquo;). Capitalized terms used in this Agreement and not defined herein shall have the meanings ascribed to such terms in the Master Separation and Distribution Agreement, dated as of the date hereof, by and between the Parties (the &ldquo; Separation Agreement &rdquo;). &nbsp; RECITALS &nbsp; WHEREAS, the board of directors of Parent (the &ldquo; Parent Board &rdquo;) has dete || arent transferred to Twin Hospitality 100% of the equity interests in the Top Tier Twin Subsidiary, including all of its subsidiaries and operations, and (iv) prior to the Taxable Spin-Off (as defined below), pursuant to the Separation Agreement, Parent will exchange all of the 5,000 shares of Twin Hospitality Class A Common Stock held by it for the issuance by Twin Hospitality to Parent of 47,298,271 sha || Class A Common Stock (the &ldquo; Retained Shares of Class A Common Stock &rdquo;) and 100% of the outstanding shares of Twin Hospitality Class B Common Stock (the &ldquo; Taxable Spin-Off &rdquo;), pursuant to a registration statement on Form 10 (the &ldquo; Form 10 &rdquo;); &nbsp; WHEREAS, Twin Hospitality intends to list the Twin Hospitality Class A Common Stock on the Nasdaq Global Market (the &ldquo || ; Listing &rdquo;), and following the Separation, the Taxable Spin-Off and the Listing, Twin Hospitality will be an independent publicly traded reporting company; &nbsp; WHEREAS, following the Taxable Spin-Off, Parent may (i) transfer the Retained Shares of Class A Common Stock and its sha || res of Twin Hospitality Class B Common Stock by means of a pro rata distribution by Parent to the Parent Common Stockholders (a &ldquo; Distribution &rdquo;); (ii) effect a disposition of the Retained Shares of Class A Common Stock and/or its shares of Twin Hospitality Class B Common Stock pursuant to one or more public offering(s) or private transaction(s) (which d || isposition(s) may precede a Distribution); or (iii) continue to hold its interest in the Retained Shares of Class A Common Stock and its shares of Twin Hospitality Class B Common Stock; &nbsp; &nbsp; &nbsp; &nbsp; WHEREAS, Parent currently intends the Distribu",PRIMARY REVIEW REQUIRED
Sandisk Corp  (SNDK)  (CIK 0002023554),0002023554,8-K,2025-02-03,https://www.sec.gov/Archives/edgar/data/2023554/000119312525019298/d919795d8k.htm,"tal Corporation (&#8220;WDC&#8221;), in connection with WDC&#8217;s previously announced separation of its flash business from its remaining hard disk drive business pursuant to a spin-off transaction (the &#8220;Spin-Off&#8221;). The Spin-Off will be effected through a distribution of 80.1% of the outstanding shares of the Company&#8217;s common stock owned by WDC on a pro rata basis to existing stockhol || ders of WDC (the &#8220;Distribution&#8221;). Upon consummation of the Spin-Off, the Company will be an independent, publicly traded company. The Registration Statement includes an information statement that describes the Distribution and the Spin-Off and provides important information regarding th || #8220;when-issued&#8221; basis on The Nasdaq Stock Market LLC (the &#8220;Nasdaq&#8221;) under the symbol &#8220;SNDK&#8221; one business day following February&#160;12, 2025, the record date for the Distribution. The Distribution is expected to be effective at 11:59 p.m. Pacific time on February&#160;21, 2025. &#8220;Regular-way&#8221; trading of the Company&#8217;s common stock on the Nasdaq is expected to ||  begin on February&#160;24, 2025, under the symbol &#8220;SNDK.&#8221; Following the Distribution, WDC will continue to trade on the Nasdaq under the symbol &#8220;WDC.&#8221; Completion of the Distribution is subject to the satisfaction or waiver of certain conditions described in the final information statement at || tached hereto as Exhibit&#160;99.1 and in the form of Separation and Distribution Agreement, which is filed as an exhibit to the Registration Statement. &#160; Item&#8201;9.01. Financial Statements and Exhibits (d) Exhibits &#160; Exhibit &#160;&#160; Description 99.1 &#160;&#160; Information Stateme || ments This Current Report on Form&#160;8-K contains forward-looking statements within the meaning of federal securities laws, including statements regarding expectations about the Spin-Off. These forward-looking statements are based on management&#8217;s current expectations and are subject to risks and uncertainties that could cause actual results to differ materially from those expressed or implied in t || fer materially from those expressed or implied in the forward-looking statements include: operational, financial and legal challenges and difficulties inherent in implementing the Spin-Off; the future operating results of the stand-alone business; value creation associated with the separation and stand-alone business; the anticipated qualification of the Spin-Off as a tax-free transaction for U.S. federal ||  income tax purposes; the expected relationship of the two businesses post-separation; whether the Spin-Off will be completed on the expected terms and on the anticipated timeline or at all, including the possibility that the conditions to the Spin-Off may not be satisfied, including that a governmental entity may prohibit, d",PRIMARY REVIEW REQUIRED
WESTERN DIGITAL CORP  (WDC)  (CIK 0000106040),0000106040,8-K,2025-02-03,https://www.sec.gov/Archives/edgar/data/106040/000119312525019294/d922460d8k.htm,"ith Western Digital Corporation&#8217;s (the &#8220;Company&#8221;) previously announced separation of its flash business from its remaining hard disk drive business pursuant to a spin-off transaction (the &#8220;Spin-Off&#8221;). The Spin-Off will be effected through a distribution of 80.1% of the outstanding shares of Sandisk&#8217;s common stock owned by the Company on a pro rata basis to existing stoc || kholders of the Company (the &#8220;Distribution&#8221;). Upon consummation of the Spin-Off, Sandisk will be an independent, publicly traded company. The Registration Statement includes an information statement that describes the Distribution and the Spin-Off and provides important information regarding Sandis || #8220;when-issued&#8221; basis on The Nasdaq Stock Market LLC (the &#8220;Nasdaq&#8221;) under the symbol &#8220;SNDK&#8221; one business day following February&#160;12, 2025, the record date for the Distribution. The Distribution is expected to be effective at 11:59 p.m. Pacific time on February&#160;21, 2025. &#8220;Regular-way&#8221; trading of Sandisk common stock on the Nasdaq is expected to begin on Fe || bruary&#160;24, 2025, under the symbol &#8220;SNDK.&#8221; Following the Spin-Off, the Company will continue to trade on the Nasdaq under the symbol &#8220;WDC.&#8221; Completion of the Distribution is subject to the satisfaction or waiver of certain conditions described in the final information stat || ement attached hereto as Exhibit&#160;99.1 and in the form of Separation and Distribution Agreement, which is filed as an exhibit to the Registration Statement. &#160; Item&#8201;9.01. Financial Statements and Exhibits (d) Exhibits &#160; Exhibit &#160;&#160; Description 99.1 &#160;&#160; Information Stateme || ments This Current Report on Form&#160;8-K contains forward-looking statements within the meaning of federal securities laws, including statements regarding expectations about the Spin-Off. These forward-looking statements are based on management&#8217;s current expectations and are subject to risks and uncertainties that could cause actual results to differ materially from those expressed or implied in t",PRIMARY REVIEW REQUIRED
"LENNAR CORP /NEW/  (LEN, LEN-B)  (CIK 0000920760)",0000920760,8-K,2025-02-07,https://www.sec.gov/Archives/edgar/data/920760/000119312525022309/d933374d8k.htm," Regulation FD Disclosure. On February&#160;7, 2025, Lennar Corporation (&#8220;Lennar&#8221;) issued a press release announcing the completion of the previously announced taxable spin-off of Millrose Properties, Inc. (&#8220;Millrose&#8221;) as described in Item 8.01 in this Current Report on Form 8-K. A copy of the press release is attached as Exhibit 99.1 to this Current Report on Form 8-K. The informa || s shall be expressly set forth by specific reference in any such filing. Item&#8201;8.01. Other Events. On February&#160;7, 2025, Lennar completed the previously announced taxable spin-off of Millrose through the distribution of approximately 80% of the outstanding shares of Millrose Class&#160;A and Class&#160;B common stock to holders of Lennar Class&#160;A and/or Class&#160;B common stock (the &#8220;D || istribution&#8221;) as of the close of business on January 21, 2025 (the &#8220;Record Date&#8221;). The Distribution was completed as of 8:30 a.m., Eastern Time, on February&#160;7, 2025. As a result of the Distribution, Millrose is now an independent public company and its Class&#160;A common stock is listed under the symbol &#8220;M || RP&#8221; on the New York Stock Exchange. Millrose Class&#160;B common stock will not be listed. Lennar stockholders of record as of the Record Date received one share of Millrose Class&#160;A common stock, unless they elected to receive Class&#160;B common stock, for every two shares of Lennar Class&#160;A or Class&#160;B common stock held as of such date, subject  || ayment of cash in lieu of fractional shares of Millrose Class&#160;A common stock. Fractional shares of Millrose Class&#160;B common stock will be rounded down. As a result of the Distribution and the elections made by Lennar stockholders in connection with the Distribution, there are currently 120,980,401 shares of Millrose Class&#160;A common stock and 11,819,811 shares of Millrose Class&#160;B common stock || &#160;A common stock of Millrose (representing approximately 20% of the total outstanding shares of Millrose common stock), which Lennar expects to dispose of through a subsequent spin-off, split-off, public offering, private sale or any combination of these potential transactions. As of the date of the Distribution, there are 154,180,454 total outstanding shares of Millrose Class&#160;A common stock and ",PRIMARY REVIEW REQUIRED
