provisional_transaction_id,issuer_key,cik,filing_count,filing_dates,filing_urls,status
SPIN-REVIEW-001,american electric power co inc,0000004904,1,2025-03-27,https://www.sec.gov/Archives/edgar/data/4904/000119312525064250/d942413d8k.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-002,soluna holdings inc,0000064463,1,2025-03-27,https://www.sec.gov/Archives/edgar/data/64463/000164117225000946/ex10-1.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-003,mdu resources group inc,0000067716,1,2025-02-06,https://www.sec.gov/Archives/edgar/data/67716/000006771625000007/a2024earningsreleaseex-99.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-004,ncr voyix corp,0000070866,1,2025-02-27,https://www.sec.gov/Archives/edgar/data/70866/000007086625000008/exhibit991-q42024earningsr.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-005,nuvera communications inc,0000071557,1,2025-03-04,https://www.sec.gov/Archives/edgar/data/71557/000143774925006011/ex_784983.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-006,western digital corp,0000106040,4,2025-01-16;2025-01-30;2025-02-03;2025-02-24,https://www.sec.gov/Archives/edgar/data/106040/000119312525007725/d856730d8k.htm;https://www.sec.gov/Archives/edgar/data/106040/000119312525017188/d916996d8k.htm;https://www.sec.gov/Archives/edgar/data/106040/000119312525019294/d922460d8k.htm;https://www.sec.gov/Archives/edgar/data/106040/000119312525033383/d847507d8k.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-007,middleby corp,0000769520,1,2025-02-25,https://www.sec.gov/Archives/edgar/data/769520/000119312525035279/d924983d8k.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-008,honeywell international inc,0000773840,1,2025-02-06,https://www.sec.gov/Archives/edgar/data/773840/000077384025000005/exhibit991-q42024earningsr.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-009,nexttrip inc,0000788611,1,2025-01-03,https://www.sec.gov/Archives/edgar/data/788611/000149315225000299/ex10-1.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-010,fastenal co,0000815556,1,2025-01-17,https://www.sec.gov/Archives/edgar/data/815556/000081555625000051/fast-20250116.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-011,geovax labs inc,0000832489,1,2025-03-25,https://www.sec.gov/Archives/edgar/data/832489/000143774925009141/ex_793773.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-012,clearone inc,0000840715,1,2025-01-15,https://www.sec.gov/Archives/edgar/data/840715/000175392625000093/clro-20250115.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-013,borgwarner inc,0000908255,1,2025-02-06,https://www.sec.gov/Archives/edgar/data/908255/000090825525000003/a20241231ex991pressrelease.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-014,labcorp holdings inc,0000920148,1,2025-02-06,https://www.sec.gov/Archives/edgar/data/920148/000092014825000021/form8-kerex991for4q24.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
